0.00 3.40	>ENV:   	((DOOR_OPENS)) <<TALK
117.16 118.66	REBECCA: 	... and then sat dow[4n4],
118.51 118.96	RICKIE: 	                    [4M4]hm,
118.96 120.11	REBECCA: 	.. put the newspaper on his lap,
120.11 120.43	RICKIE: 	Y[eah],
120.24 120.69	REBECCA: 	 [mas]turbated,
120.69 121.79	        	and then lifted the paper [2up2],
121.59 121.89	RICKIE: 	                          [2Yeah2]=,
121.89 122.59	REBECCA: 	.. for her to see.
122.59 124.14	        	... (TSK) And she saw it,
124.14 125.49	        	.. in the .. the re[flection,
125.16 125.49	RICKIE: 	                   [n- n- --
125.49 125.79	        	<X Oh X>,
125.79 126.34	        	the mirror].
125.49 127.24	REBECCA: 	(H) cause she was] looking [2out the window,
126.61 127.81	RICKIE: 	                           [2That's how I did it too2].
127.24 128.36	REBECCA: 	saying I don't want2] to s[3ee this3].
127.95 129.08	RICKIE: 	                          [3Cause I didn't3] want to see him,
129.08 129.93	        	so I looked this way,
129.93 130.88	        	and you can see it.
130.88 131.23	REBECCA: 	... Right.
131.23 131.63	RICKIE: 	You know,
131.63 133.27	REBECCA: 	Cause it turns into the [mirror] effect.
132.50 132.90	RICKIE: 	                        [Yeah],
133.27 133.70	        	[2mhm2],
133.27 135.58	REBECCA: 	[2(H)2] And he was just sort of staring at her,
135.58 136.98	        	.. and lifting up [3the paper3].
136.33 136.58	RICKIE: 	                  [3Yeah,
136.58 136.98	        	mhm3].
136.98 138.33	REBECCA: 	(H)= U=m,
138.33 139.13	        	... so,
139.13 139.88	        	.. [anyway],
139.35 140.00	RICKIE: 	   [Exact]ly.
140.00 140.52	        	[2%(Hx)2]
140.00 140.52	REBECCA: 	[2it c-2]--
140.52 141.52	        	it's a carbon copy,
141.52 141.72	RICKIE: 	Yeah.
141.72 142.32	REBECCA: 	.. a=nd,
142.32 142.72	        	.. um,
142.72 143.72	        	in that case he's,
143.72 145.97	        	.. (H) %% he sits through all the testimony,
145.97 147.42	        	and he just sort of shakes his head,
147.42 148.77	        	and makes these big gasps,
148.77 149.02	        	like,
149.02 149.52	        	(H) you know,
149.52 151.52	        	we're creating this whole thing ag[ainst] him.
150.97 151.27	RICKIE: 	                                  [Hm].
151.52 152.87	REBECCA: 	(H) U=[2m2],
152.49 153.54	ARNOLD: 	      [2@@2]@@
153.54 154.69	REBECCA: 	and then with [3~June3],
154.21 154.69	ARNOLD: 	              [3(H)3]
154.69 155.09	REBECCA: 	.. um,
155.09 156.20	        	the woman that just walked ou=t,
156.20 156.49	RICKIE: 	Unhunh,
156.49 156.99	REBECCA: 	u=m,
156.99 158.69	        	... (H) she was riding on BART,
158.69 159.19	        	.. and,
159.19 161.04	        	... he came and sat near her,
161.04 162.24	        	... she moved,
162.24 164.04	        	... he moved to get closer to her,
164.04 165.39	        	.. (H) she moved again,
165.39 167.24	        	.. and he moved directly oppo[site her],
166.71 167.24	RICKIE: 	                             [Mhm].
167.24 168.59	REBECCA: 	and then started masturbating.
168.59 168.89	        	(H)
168.89 169.19	RICKIE: 	Yeah.
169.19 169.74	REBECCA: 	.. So,
169.74 170.69	RICKIE: 	... (H) <X well X> see,
170.69 171.17	        	.. what it is,
171.17 173.79	        	it seems like he wants <X someone X> more scary=,
173.79 174.99	        	... y%%- I don't kno=w,
174.99 175.34	        	cause,
175.34 177.34	        	(H)= ... he would walk up and down the aisles,
177.34 178.74	        	there was women on the other side,
178.74 179.04	        	too,
179.04 179.99	        	but they'd look like,
179.99 180.19	        	you know,
180.19 181.19	        	you wouldn't mess with em,
181.19 182.34	        	but if you're sitting there,
182.34 182.54	        	you know,
182.54 183.79	        	trying to mind your own business,
183.79 184.19	        	[or=],
183.79 184.19	REBECCA: 	[Right].
184.19 186.14	RICKIE: 	.. look like you can intimidate someone,
186.14 186.52	        	you [know],
186.26 186.52	REBECCA: 	    [Right].
186.52 186.84	RICKIE: 	I i- --
186.84 187.05	ARNOLD: 	[X]
186.84 187.94	RICKIE: 	[that's] what it look like,
187.94 188.80	REBECCA: 	.. (H) I think that's,
188.80 191.04	        	I think he he finds somebody that's isolated,
191.04 191.42	RICKIE: 	[Mhm].
191.04 194.03	REBECCA: 	[(H)]= a=nd he= .. goes for a certain age group,
194.03 194.56	        	[2I think2].
194.03 194.56	RICKIE: 	[2Yeah2].
194.56 195.91	REBECCA: 	(H).. U=m,
195.91 196.61	        	.. a=nd,
196.61 197.41	        	you know like %%,
197.41 199.66	        	for some reason I think he likes students,
199.66 201.33	        	[or people] who look like stud[2ents=2].
199.66 200.09	RICKIE: 	[Unhunh].
200.99 201.33	        	                              [2Mhm2].
201.33 202.03	REBECCA: 	.. So,
202.03 203.48	        	.. (H)= anyway,
203.48 204.58	        	.. okay,
204.58 205.08	        	.. u=m,
205.08 205.83	        	.. did you=,
205.83 207.73	        	... as far as your,
207.73 208.28	        	... um,
208.28 209.63	        	... mileage <<STAPLE>> goes.
209.63 211.23	        	... [What would did] --
210.38 211.48	RICKIE: 	    [Oh how much w]as it,
211.48 212.63	ARNOLD: 	Hundred and thirty=,
212.63 213.58	        	s- I don't know.
213.58 214.23	REBECCA: 	... Okay.
214.23 215.93	RICKIE: 	... And we got the um,
215.93 219.53	        	... <P that ticket <X ... for our X> X P>?
219.53 220.13	REBECCA: 	.. Parking (Hx)?
220.13 220.53	RICKIE: 	Yeah.
220.53 220.83	REBECCA: 	Okay.
220.83 222.98	RICKIE: 	... They moved the ga=te or something?
222.98 223.68	        	... The,
223.68 225.13	        	how @to get in the @parking @lot,
225.13 227.23	        	... (H) (Hx) cause it used to be on,
227.23 227.68	        	[X]
227.23 228.00	REBECCA: 	[Oh y]eah[2=2].
227.85 228.45	RICKIE: 	         [2Y2]eah[3=3].
228.20 229.90	REBECCA: 	                 [3Bec3]ause they built .. this bui[4lding4].
229.65 230.18	RICKIE: 	                                                   [4Oh4]=.
230.18 230.90	        	[5See @@,
230.18 230.80	REBECCA: 	[5That's where the,
230.80 231.25	        	yeah5].
230.90 232.85	RICKIE: 	we had to5] get back all the way on the [6freeway,
232.22 233.67	REBECCA: 	                                        [6(TSK) (H) Oh= no=6].
232.85 233.37	RICKIE: 	and I was like,
233.37 234.02	        	<Q oh6] God,
234.02 235.39	        	.. there was a door here before,
235.39 236.07	        	a entrance Q>,
236.07 236.57	        	you know,
236.57 237.07	REBECCA: 	[Yeah=].
236.57 238.12	RICKIE: 	[(H)=] I couldn't find it,
238.12 238.82	REBECCA: 	@@[2@@@2]
238.37 238.82	RICKIE: 	  [2but @uh2],
238.82 239.47	        	we found it.
239.47 240.37	REBECCA: 	.. (H) Um,
240.37 243.11	        	...(H) oh okay.
243.11 244.44	        	Do you know how much it's gonna be?
244.44 245.19	RICKIE: 	... Oh no,
245.19 245.64	        	not yet.
245.64 246.39	REBECCA: 	Okay.
246.39 247.74	        	(H) U=m,
247.74 249.85	        	.. do you guys have the cash to pay for it right now?
249.85 251.25	        	... When you- to get out?
251.25 252.20	RICKIE: 	.. Yeah [I] think so,
251.55 251.75	ARNOLD: 	        [Yeah].
252.20 252.65	RICKIE: 	[2Yeah2].
252.20 252.65	REBECCA: 	[2Okay2].
252.65 254.60	        	(H) Then what I'll do .. is,
254.60 255.05	        	... when --
255.05 255.50	        	.. you can --
255.50 257.00	        	.. I'll call you and [find out].
256.45 257.00	RICKIE: 	                     [Okay].
257.00 258.33	REBECCA: 	.. (H) What I have to do is,
258.33 260.08	        	submit all of this to our accounting department,
260.08 260.40	RICKIE: 	[Okay].
260.08 261.24	REBECCA: 	[and they] give you ... the,
261.24 262.79	        	.. they'll mail you the .. reimbursement.
262.79 263.14	RICKIE: 	Okay.
263.14 264.54	REBECCA: 	(H) So you guys hang on to [that,
264.24 264.59	RICKIE: 	                           [Okay].
264.54 265.36	REBECCA: 	s][2o you ca2]n get out.
264.59 264.89	ARNOLD: 	  [2Okay2].
265.36 265.62	RICKIE: 	Alright.
265.62 266.01	REBECCA: 	And then,
266.01 269.06	        	...(H) I imagine it will be about .. five dollars [or so].
268.58 269.06	RICKIE: 	                                                  [Okay].
269.06 271.16	REBECCA: 	(H)= U=m (Hx),
271.16 271.76	        	.. so.
271.76 273.51	        	<<PAPERS ... a hundred and thirty=,
273.51 274.88	        	.. about a hundred and thirty five you think?
274.88 275.28	ARNOLD: 	Yeah[=].
275.12 275.54	RICKIE: 	    [M]hm,
275.54 276.04	REBECCA: 	Okay.
276.04 278.75	        	... So round trip it'll be like .. t[wo seve]nty.
277.99 278.49	RICKIE: 	                                    [two si-] --
278.75 279.04	        	Yeah.
279.04 284.30	REBECCA: 	... PAPERS>> <<WRITING
284.30 284.85	RICKIE: 	... (SNIFF)
284.85 287.85	REBECCA: 	... That's from Salinas?
287.85 288.35	RICKIE: 	... Mhm=.
288.35 296.55	        	... (SNIFF)
296.55 300.00	REBECCA: 	... WRITING>>
300.00 302.82	        	(H) Do you go by ~Rickie ~Reeding- R- ~Reeding ~Rollins,
302.82 304.50	        	or do you .. just go by ~Rickie ~Rollins.
304.50 305.30	RICKIE: 	... Uh ~r- --
305.30 305.75	        	u=m,
305.75 306.95	        	.. well my name is ~Regina,
306.95 308.35	        	I just go by ~Rick[ie=],
308.02 308.43	REBECCA: 	                  [Okay]=.
308.43 311.10	RICKIE: 	uh I don't know if you have to put my ... ~Regina in there[2=2],
311.00 311.73	REBECCA: 	                                                          [2Y2]eah [3proba3]b-,
311.19 311.64	RICKIE: 	                                                                   [3um i-3] --
311.73 313.13	        	~Regina ~Rollins is fine,
313.13 314.05	        	i[t doesn]'t matter.
313.21 313.43	REBECCA: 	 [Okay].
314.05 314.23	        	[2Okay2].
314.05 315.51	RICKIE: 	[2(H)2] Whatever is easier for you guys.
315.51 316.51	        	.. (SNIFF)
316.51 318.61	REBECCA: 	... You guys newly married?
318.61 320.06	RICKIE: 	... Well [just a year].
319.21 320.56	ARNOLD: 	         [A yea=r ..] two days ago.
320.56 322.01	RICKIE: 	@@[@@ (H)]=
320.93 321.68	REBECCA: 	  [Oh great].
322.01 322.36	ARNOLD: 	.. @@
322.36 324.68	REBECCA: 	... Soon you'll be in my condition.
324.68 325.46	RICKIE: 	@@[@@]
325.11 325.76	REBECCA: 	  [which is p]regnant.
325.76 326.41	RICKIE: 	[2Aw really?
325.76 326.63	ARNOLD: 	[2(Hx) @A=w2],
325.76 326.63	REBECCA: 	[2@@@@2]
326.41 327.27	RICKIE: 	Con2][3grat3]ulations.
326.63 326.78	REBECCA: 	     [3Yeah3].
327.27 328.39	RICKIE: 	@@ [4(H)4]@
327.49 328.18	REBECCA: 	   [4@@ Thanks4].
328.39 329.49	REBECCA: 	(H)[5=5] Okay.
328.57 329.04	RICKIE: 	   [5(H)5]
329.49 331.34	REBECCA: 	... Let's just go through,
331.34 331.69	        	.. um,
331.69 333.04	        	I%- I have your statement,
333.04 334.79	        	but I just want to .. have you tell me,
334.79 335.13	RICKIE: 	O[kay].
334.93 335.72	REBECCA: 	 [what] happened.
335.72 336.27	RICKIE: 	Alright (Hx).
336.27 338.15	REBECCA: 	... (TSK) U=[m],
337.77 338.15	RICKIE: 	            [(SNIFF)]
338.15 342.65	REBECCA: 	... do you remember the date?
342.65 344.15	RICKIE: 	... N=o.
344.15 344.75	REBECCA: 	... Okay.
344.75 345.70	        	.. Because I'll be,
345.70 349.40	        	... (H)= <VOX saying to you VOX> (Hx),
349.40 351.34	        	... <Q do you reca=ll,
351.34 352.35	        	o=n August twelfth,
352.35 353.30	        	.. nineteen ninety two Q>.
353.30 353.60	RICKIE: 	Okay.
353.60 353.95	REBECCA: 	Okay,
353.95 355.70	        	(H) and it was about one o'clock?
355.70 356.25	RICKIE: 	Mhm.
356.25 356.60	REBECCA: 	Okay.
356.60 358.55	        	... So,
358.55 359.55	        	... first of all,
359.55 361.15	        	(H) where did you get on BART.
361.15 362.30	RICKIE: 	.. <X A=t X> Oakland.
362.30 362.90	REBECCA: 	.. Okay.
362.90 363.90	        	And where were you going.
363.90 364.99	RICKIE: 	... U=m,
364.99 365.69	        	.. to the doctor's,
365.69 366.39	        	.. in San Francisco.
366.39 367.19	        	... San Francisco.
367.19 368.47	REBECCA: 	.. (H) A=nd,
368.47 368.94	        	u=m,
368.94 370.95	        	... when you got on BART,
370.95 374.70	        	.. (H) I'll ask you to= ... describe where you sat,
374.70 375.60	        	... [on the tr]ain,
374.85 375.35	RICKIE: 	    [Okay].
375.60 376.45	REBECCA: 	and let me show you,
376.45 377.25	        	.. (H) um,
377.25 378.00	        	.. what I have,
378.00 386.55	        	(H) ... This is a .. diagram .. of ... the interior of BART.
386.55 387.02	RICKIE: 	Mhm.
387.02 388.95	REBECCA: 	... Okay looking at that,
388.95 390.50	        	these are the b=acks of the seats,
390.50 390.75	RICKIE: 	Yeah.
390.75 391.85	REBECCA: 	So facing that way,
391.85 393.25	        	(H) okay [(H)],
393.07 393.42	RICKIE: 	         [O]kay.
393.42 394.17	REBECCA: 	U=m,
394.17 395.35	        	... can you --
395.35 395.95	        	(H)
395.95 396.75	RICKIE: 	... U=m,
396.75 398.87	        	... that's the .. train.
398.87 399.12	        	Right?
399.12 399.44	REBECCA: 	Right.
399.44 400.99	RICKIE: 	(TSK) (H) <% u% That seat right there,
400.99 402.49	        	I always sit going backwards.
402.49 403.24	        	.. I have= %> --
403.24 404.99	REBECCA: 	Okay so the train was tra[veling that way],
404.38 405.34	RICKIE: 	                         [Yeah un]hunh.
405.34 405.84	REBECCA: 	Okay.
405.84 406.34	        	... So,
406.34 407.57	        	...(H) u=m,
407.57 408.89	RICKIE: 	<@ And it's hard to describe how,
408.89 409.24	        	so= @>,
409.24 409.65	        	@@
409.65 410.07	        	yeah.
410.07 411.67	        	I was sitting backwards in the back seat.
411.67 412.27	REBECCA: 	.. Okay.
412.27 412.67	        	[(H)]
412.27 413.27	RICKIE: 	[The very] end seat.
413.27 413.92	REBECCA: 	A=nd,
413.92 414.97	        	.. when he came in,
414.97 417.38	        	.. when .. where was he when you first saw him .. c[ome in].
417.10 419.02	RICKIE: 	[% H]e got on the trai=n o=n like,
419.02 421.21	        	(THROAT) I think Twelfth Street or something?
421.21 422.66	        	in .. (H) Oakland?
422.66 424.36	        	(H) <VOX And like in a,
424.36 426.26	        	... let me see VOX>.
426.26 430.98	        	... Okay.
430.98 432.08	        	... He got on another car.
432.08 433.33	        	... But you can --
433.33 434.33	        	I .. I seen him,
434.33 435.53	        	because I seen him a year ago.
435.53 435.84	REBECCA: 	Unhunh.
435.84 437.38	RICKIE: 	(H) So I seen him when the,
437.38 438.82	        	... you know how the trai=n goe=s,
438.82 440.17	        	and you can see everybody out the window,
440.17 442.12	        	(H) well he got in another= .. door.
442.12 442.46	REBECCA: 	O[kay].
442.26 443.54	RICKIE: 	 [An]d he came through here.
443.54 444.19	REBECCA: 	Okay.
444.19 444.63	        	.. Alright.
444.63 445.84	        	.. So he came through he[re,
445.65 446.04	RICKIE: 	                        [Mhm].
445.84 446.94	REBECCA: 	when he] came through here,
446.94 448.34	        	.. (H) did he look at you at all?
448.34 448.65	RICKIE: 	M[hm].
448.44 449.04	REBECCA: 	 [Ini]tially?
449.04 449.44	RICKIE: 	Yeah.
449.44 450.34	REBECCA: 	What did he do.
450.34 451.65	RICKIE: 	Just loo=ked=,
451.65 452.05	        	he [had a] --
451.75 452.85	REBECCA: 	   [Did he s]top walking?
452.85 453.65	RICKIE: 	n=,
453.65 455.65	        	just kinda (H) loo=ked,
455.65 457.15	        	.. and then loo=ked,
457.15 458.75	        	and then .. (H) walked.
458.75 459.30	REBECCA: 	.. [Okay].
458.87 459.72	RICKIE: 	   [And] then he kept walking.
459.72 460.04	        	[2<X Yeah X>2].
459.72 461.91	REBECCA: 	[2(H)2] When he looked at you the first time,
461.91 462.88	        	was he sort of,
462.88 464.19	        	... looking you up and down,
464.19 464.45	        	or,
464.45 465.91	        	.. did he just look at your seat,
465.91 466.21	        	.. wh[at-] --
465.98 466.63	RICKIE: 	     [Ju]st like,
466.63 466.97	        	.. you know,
466.97 467.45	        	look.
467.45 468.44	        	% u%h I guess=,
468.44 468.96	        	[X] --
468.44 468.96	REBECCA: 	[At you]?
468.96 469.54	RICKIE: 	At me.
469.54 469.65	        	Di- --
469.65 470.18	REBECCA: 	O[kay].
469.77 470.18	RICKIE: 	 [Yeah],
470.18 471.38	        	and look at my seat,
471.38 471.83	        	.. cause,
471.83 474.48	        	(H) I always sit ... all the way to the window.
474.48 474.83	REBECCA: 	Okay.
474.83 476.43	RICKIE: 	So I thought he was gonna sit down.
476.43 476.93	        	.. Actually.
476.93 477.78	REBECCA: 	.. Okay.
477.78 478.10	RICKIE: 	[<P Hunh P>].
477.78 479.39	REBECCA: 	[(H)] And then he continued on,
479.39 479.88	RICKIE: 	[2Unhunh2].
479.39 480.23	REBECCA: 	[2and where di2]d he go.
480.23 481.83	RICKIE: 	(H) He went all the way to the,
481.83 482.58	        	.. you know,
482.58 483.99	        	into the .. trai=n,
483.99 484.60	REBECCA: 	All the way up h[ere]?
484.46 485.19	RICKIE: 	                [M]hm[2=2].
485.07 485.55	REBECCA: 	                     [2O2]kay.
485.55 486.55	RICKIE: 	And the=n,
486.55 488.48	        	(H) uh (Hx) he went through the door,
488.48 489.72	        	and then he ca=me back.
489.72 490.80	        	... again.
490.80 491.45	REBECCA: 	.. Okay.
491.45 492.35	RICKIE: 	He went through <X th[ere X>,
492.10 493.30	REBECCA: 	                     [He went through these doors]?
492.35 493.30	RICKIE: 	into it unhunh],
493.30 494.25	        	into another car.
494.25 494.80	REBECCA: 	Oh[=].
494.52 496.27	RICKIE: 	  [(H)] And then he came back again,
496.27 497.24	        	.. and then,
497.24 498.92	        	(H) I guess that was like another stop,
498.92 500.07	        	and more people were getting off,
500.07 500.87	        	.. and the=n,
500.87 503.92	        	... that's when he came .. and s=at b=y me,
503.92 505.18	        	sat .. in this seat right here.
505.18 505.72	        	(H) But,
505.72 507.32	        	.. there was someone sitting there too=.
507.32 508.12	        	there was a [lady],
507.62 508.07	REBECCA: 	            [You're kidding].
508.07 508.32	RICKIE: 	Unhunh,
508.32 509.52	        	there was a lady sitting there,
509.52 510.72	        	(H) but she got up,
510.72 511.87	        	.. and she went to another seat.
511.87 513.17	REBECCA: 	... Ah[=].
512.84 513.17	RICKIE: 	      [She],
513.17 514.56	        	she just went to a different seat.
514.56 515.60	REBECCA: 	... Okay.
515.60 516.17	RICKIE: 	You know like,
516.17 517.70	        	(H) but he was m=aking %=,
517.70 518.98	        	I don't know how you describe it,
518.98 520.85	        	you know how you can be like a nuisance to someone?
520.85 521.17	REBECCA: 	[Mhm].
520.85 523.07	RICKIE: 	[O=r] .. you may sme=ll or some[2thi2]ng,
522.71 522.90	REBECCA: 	                               [2Yeah2].
523.07 524.32	RICKIE: 	you know like that you [3know,
524.17 524.45	REBECCA: 	                       [3Yeah3].
524.32 525.67	RICKIE: 	or3] mo=ving arou=nd,
525.67 526.37	        	you know like,
526.37 527.57	        	... as he wanted her to move.
527.57 528.22	REBECCA: 	.. [Okay].
527.81 529.13	RICKIE: 	   [(H) And] she got [2up and m2]oved.
528.37 528.77	REBECCA: 	                     [2S- she2],
529.13 529.58	        	okay.
529.58 530.93	        	(H) ... U=m,
530.93 532.60	        	... and,
532.60 533.71	        	so when she moved,
533.71 535.13	        	.. was there anybody seated,
535.13 535.63	RICKIE: 	X[=]
535.33 536.13	REBECCA: 	 [in this] area.
536.13 537.84	RICKIE: 	(H) ... I think maybe like,
537.84 539.23	        	(H) you know how these chairs are?
539.23 539.59	REBECCA: 	[Unhunh].
539.23 540.18	RICKIE: 	[Maybe right] he=re,
540.18 540.43	        	and,
540.43 541.04	        	.. you know,
541.04 541.37	REBECCA: 	[Okay].
541.04 543.03	RICKIE: 	[but you] couldn't they couldn't see= nothing,
543.03 544.15	        	o[2r= anybody2],
543.15 543.64	REBECCA: 	 [2Okay,
543.64 544.79	        	but nobo2]dy righ[3t3],
544.59 545.16	RICKIE: 	                 [3N3]o[4=,
545.16 545.44	        	XX4]
544.98 545.84	REBECCA: 	                       [4in these4] area[5s.
545.74 546.86	RICKIE: 	                                        [5I don't bel5]ieve so.
545.84 546.29	REBECCA: 	Okay5].
546.86 547.64	        	.. Alright.
547.64 549.09	        	... So then,
549.09 550.34	        	.. wh=at did he do.
550.34 551.84	RICKIE: 	... U=m,
551.84 553.55	        	... did the newspaper %(Hx).
553.55 554.10	        	you know=,
554.10 554.95	        	.. looking at it,
554.95 555.40	        	you know,
555.40 556.83	        	.. making loud noises,
556.83 558.75	        	I guess <X so I think X> like that or whatever,
558.75 560.80	        	(H)= ... the=n,
560.80 563.10	        	.. he just kept doing that to the newspaper like that,
563.10 563.65	        	and the=n,
563.65 564.55	        	he went i=n,
564.55 566.20	        	... and then he just,
566.20 567.66	        	(H) you can just see him going like this,
567.66 569.36	        	you know how you have to .. unzip your [pa=nts]?
568.97 569.36	REBECCA: 	                                       [Yeah].
569.36 569.81	RICKIE: 	or something,
569.81 570.56	        	like tha=t,
570.56 572.71	        	... (H) and I'm looking through the w=indow.
572.71 575.61	        	... (H) and then he's still making n=oises with the paper,
575.61 577.31	        	... (H) and then um,
577.31 578.91	        	... <X I X> kinda looked,
578.91 581.11	        	and then I didn't and I .. kept making like,
581.11 584.16	        	... <Q s= uh= (Hx) .. <WH you know like WH> (Hx)= Q>,
584.16 585.28	        	you know like [<Q I know what you're Q>] --
584.67 586.09	REBECCA: 	              [He was ma]king noi[2ses like2] that?
585.55 585.87	RICKIE: 	                                 [2(H)2]
586.09 586.42	        	No=,
586.42 587.42	        	he was making those=,
587.42 587.81	        	.. you know,
587.81 588.64	        	the rattling p[aper],
588.44 588.64	REBECCA: 	              [Unhunh].
588.64 589.87	RICKIE: 	but I was making noises like,
589.87 590.42	        	<Q (TSK)(Hx)= Q>
590.42 590.86	        	you know like,
590.86 591.63	        	I wanted him to know,
591.63 592.82	        	<Q I know what you're doing Q>.
592.82 593.10	REBECCA: 	[Yeah].
592.82 594.26	RICKIE: 	[You know] I remembered him for a year --
594.26 595.11	        	.. from a year ago.
595.11 596.36	        	(H) And so,
596.36 597.21	        	then I just <VOX kept,
597.21 598.01	        	you know I just turned VOX>,
598.01 598.45	        	you know,
598.45 599.18	        	away from him,
599.18 600.61	        	and I looked in the window,
600.61 602.88	        	(H) and .. he just kept <<B +hitting the paper +.
602.88 603.63	        	... like that,
603.63 604.48	        	.. + B>> you kno=w?
604.48 605.83	        	<VOX But you know what he wa[s do]ing VOX>.
605.30 605.60	REBECCA: 	                            [Yeah].
605.83 608.28	RICKIE: 	@ (H) He kept hitting the paper,
608.28 609.83	        	...(H) and um,
609.83 611.66	        	... uh=,
611.66 612.13	        	let me see,
612.13 613.45	        	then one time I jus=t,
613.45 613.65	        	you know,
613.65 615.05	        	kinda .. looked over=,
615.05 616.75	        	(H) and then you can see it.
616.75 617.70	        	.. You know= (Hx),
617.70 618.50	        	... you can see it.
