0.00 5.88	DORIS:  	... ~Sam has been,
398.21 399.80	DORIS:  	                                         [@][2@@2][3@3][4@@@4]
398.50 398.89	SAM:    	                                            [2@@2][3@3]
398.48 398.90	ANGELA: 	                                            [2You know2].
398.90 400.03	        	                                                       [4(H) But then I4] thought,
400.03 402.66	        	(H) ... <Q these are the only summer beads I ha=ve Q>.
402.66 403.15	DORIS:  	Right.
403.15 404.36	        	.. (H) And I like --
404.36 406.07	        	I like that b- .. shirt.
406.07 409.04	ANGELA: 	... (H) You know what I had to do.
409.04 410.98	        	... (H)[= This] --
410.56 411.20	DORIS:  	       [What did you] --
411.20 411.76	ANGELA: 	... this --
411.76 415.44	        	.. (H) See where I sewed right down the middle of that.
415.44 416.06	DORIS:  	.. Yeah?
416.06 418.47	ANGELA: 	... Otherwise it would balloo=n out?
418.47 421.39	        	... (H) And so I s-,
421.39 422.64	        	(H) .. put it on the machine,
422.64 424.36	        	and sewed right down through the middle of it.
424.36 424.86	        	[(H)]
424.41 425.35	SAM:    	[So it doesn't] gap.
425.35 425.77	        	[2(COUGH)2]
425.36 427.56	ANGELA: 	[2So it2] .. d- doesn't @gap- @@.
427.56 428.13	        	.. Right.
428.13 428.55	DORIS:  	... Oh,
428.55 428.99	        	smart.
428.99 429.76	ANGELA: 	... Yeah.
429.76 430.65	        	... Well it works.
430.65 431.07	        	... (H)
431.07 431.67	DORIS:  	[Smart].
431.07 431.76	ANGELA: 	[(H) It had a],
431.76 433.05	        	(H) it had a,
433.05 436.36	        	... one of tho=se ... bottoms that --
436.36 437.39	DORIS:  	... Oh=.
437.39 437.86	ANGELA: 	are --
437.86 439.27	        	... what do you call it.
439.27 440.33	SAM:    	.. A tail?
440.33 441.00	DORIS:  	... No.
441.00 441.57	        	The tight.
441.57 442.80	        	It- [% % the band].
442.18 442.37	SAM:    	    [Oh].
442.18 444.53	ANGELA: 	    [The t- the] tight band around [2the bottom2] [3of it3].
443.60 444.32	DORIS:  	                                   [2B-2] [3band3].
444.12 445.36	SAM:    	                                                  [3I don't3] like those.
445.36 446.30	ANGELA: 	... I don't either.
446.30 448.31	DORIS:  	... Makes your butt look [thin].
448.00 449.04	ANGELA: 	                         [Most] all of em are that way.
449.04 449.56	DORIS:  	[2Makes your hei- --
449.04 449.98	ANGELA: 	[2(H) And do you know2],
449.63 451.06	DORIS:  	makes your2] heinie look thinner.
451.06 453.60	ANGELA: 	... (H) I went over to a store,
453.60 455.44	        	... where it says,
455.44 456.53	SAM:    	(H)
456.53 457.79	ANGELA: 	.. uh= sewing,
457.79 460.81	        	... alterations.
460.81 461.54	        	... And all that stuff.
461.54 462.48	        	(H) And I said,
462.48 463.91	        	how much do you charge,
463.91 467.27	        	... for taking that .. bottom band off the top,
467.27 468.03	        	.. you know.
468.03 470.70	        	.. (H) And just making it a straight shirt.
470.70 471.82	        	... And she said,
471.82 473.00	        	<<THUMP>> (H) <Q eight dollars Q>.
473.00 473.73	        	.. (H) And I thought,
473.73 474.44	        	oh my lord,
474.44 476.88	        	I didn't pay that much for the top I've got on.
476.88 479.25	        	[@@@]@@[2@@@@2]
476.88 477.65	SAM:    	[@@]
478.45 479.11	DORIS:  	       [2(H) You know2],
479.11 481.35	        	... that's a little like these catalog things.
481.35 482.60	        	I saw something in a cat- --
482.60 483.76	        	the ... catalog,
483.76 485.35	        	this USPE deal that-,
485.35 487.85	        	... (H) I've been with for a long time,
487.85 488.26	        	and,
488.26 488.85	        	(THROAT)
488.85 490.60	        	... (H) I wanted to buy it,
490.60 492.75	        	(Hx) .. (H) It was a= m-,
492.75 493.89	        	m- like a muumuu,
493.89 494.95	ANGELA: 	... Mhm.
494.95 496.08	DORIS:  	weren't those pretty ones up,
496.08 497.71	        	in= Dillards the other day,
497.71 498.38	        	those muumuus,
498.38 499.42	        	did you notice em?
499.42 501.13	        	... (H) Didn't you notice em,
501.13 502.17	        	as you went out,
502.17 504.43	        	... all beautiful colors?
504.43 506.04	        	... So pretty.
506.04 507.01	        	.. (H) Well anyway,
507.01 508.14	        	they were on the rack.
508.14 509.68	        	... (H) And uh,
509.68 513.25	        	... (TSK) (H) I wanted to order that muumuu,
513.25 515.34	        	... I mean it was around twenty-nine dollars,
515.34 516.48	        	or something like that,
516.48 519.17	        	.. (H) and two pairs of short pajamas.
519.17 520.21	        	... One for ~Sam,
520.21 520.95	        	and one for me.
520.95 523.81	        	... (H) A=nd (Hx),
523.81 527.38	        	... I looked at the postage .. attached to it,
527.38 527.87	ANGELA: 	(H)
527.87 530.25	DORIS:  	.. (H) and I thought good heavens.
530.25 531.80	        	It would have been around eight dollar-.
531.80 534.04	        	It's by .. amounts of <<POUND +money ++.
534.04 534.70	        	... Not +weight.
534.70 535.66	        	It's by +money.
535.66 537.66	        	.. + +How much +m=oney this costs.
537.66 540.25	        	... And it's +geared according to +that POUND>>.
540.25 541.38	        	... (H) And I thought,
541.38 542.39	        	% forget it.
542.39 543.75	        	I could take that eight dollars,
543.75 545.41	        	and buy another whole .. outfit.
545.41 546.56	ANGELA: 	... Yeah,
546.56 547.02	        	.. you know,
547.02 548.08	        	this is amazing.
548.08 548.95	        	(H) Uh=,
548.95 551.72	        	.. I like to get= um ... pillow covers.
551.72 552.85	        	.. That you zip on,
552.85 554.38	        	(H) [to protect] the pillows?
553.21 553.50	DORIS:  	    [Mhm].
554.38 554.95	        	... Mhm.
554.95 556.19	ANGELA: 	... And uh,
556.19 557.85	        	.. I went over to Sears,
557.85 559.57	        	... one time,
559.57 561.28	        	and or=dered three.
561.28 564.50	        	... Through the ... catalog?
564.50 569.06	        	... (H) And [instead] of sending it in with a shipment or anything,
566.35 566.65	SAM:    	            [(TSK)]
569.06 571.75	ANGELA: 	.. (H) I paid postage on it separate.
571.75 572.12	DORIS:  	.. Yeah.
572.12 574.56	ANGELA: 	(H) And do you know the postage came to more &
574.56 575.17	DORIS:  	& ... Than the g- --
575.17 575.93	        	than the product.
575.93 577.16	ANGELA: 	.. more than the product.
577.16 577.75	DORIS:  	Right.
577.75 578.42	        	... Right.
578.42 579.29	ANGELA: 	... @@@
579.29 580.12	DORIS:  	.. (H) Well I --
580.12 580.88	        	I= w- --
580.88 584.13	        	... % That's one of the letters that I'm going to write to USPE.
584.13 586.28	        	... (H) .. And just tell them.
586.28 586.77	ANGELA: 	(SNIFF)
586.77 589.64	DORIS:  	... That they're g=earing this in the wrong way.
589.64 592.13	        	... It should be geared according to weight.
592.13 593.92	        	... Now.
593.92 595.68	        	... That g- ... cotton --
595.68 597.59	        	.. two pairs of cotton pajamas,
597.59 600.32	        	... and that cotton .. muumuu,
600.32 602.58	        	.. ain't gonna weigh up to eight <@ dollars worth,
602.58 603.79	        	[Believe @> you me].
602.68 603.74	ANGELA: 	[I wouldn't think,
603.74 603.98	        	No].
603.98 604.64	DORIS:  	I know better.
604.64 605.60	        	.. (H) So,
605.60 606.69	        	... I thought th-,
606.69 608.23	        	.. I just won't ... order from em.
608.23 608.54	        	I m- --
608.59 609.73	        	... That's .. foolish.
609.73 611.33	SAM:    	(H) We better go up to Dillards,
611.33 613.42	        	and see if they still have those muumuus.
613.42 614.78	DORIS:  	... You mean up to Phoenix?
614.78 615.40	SAM:    	... No=,
615.40 616.71	        	well- they might have them here,
616.71 617.33	        	in town.
617.33 618.46	DORIS:  	.. (H) I [don't know.
618.07 618.74	SAM:    	         [At Dillards].
618.74 618.94	DORIS:  	.. They] --
618.94 619.83	        	they were sure pretty.
619.83 621.89	        	... Pretty c- --
621.89 622.85	        	.. pretty colors.
622.85 624.16	        	.. [Some of] em were [2dark2],
623.00 623.49	X:      	   [Yeah].
623.69 624.16	        	                     [2Yeah2].
624.16 624.82	DORIS:  	but they had,
624.82 625.68	        	.. (H) oh,
625.68 626.69	        	.. purples and,
626.69 627.90	        	% r=eds and,
627.90 628.76	        	.. pinks and,
628.76 629.05	        	oh,
629.05 630.69	        	pretty [designs] in em.
629.67 630.16	ANGELA: 	       [Hm].
630.69 630.93	        	(H)
630.93 632.36	DORIS:  	.. You didn't see em.
632.36 634.21	ANGELA: 	... I don't think I was- --
634.21 635.15	        	(H) I was --
635.15 638.83	        	... I think I was concerned about your getting there and back.
638.83 639.10	        	[@]
638.86 639.10	DORIS:  	[@Oh].
639.10 639.29	SAM:    	Oh,
639.29 639.53	        	[@hunh],
639.27 639.50	DORIS:  	[@]
639.53 641.02	        	<@ You're not the only one baby @>.
641.02 642.06	ANGELA: 	@@[@@@@]
641.34 642.11	DORIS:  	  [@ (H)]
642.11 643.14	        	You weren't [2the only one2],
642.62 642.91	ANGELA: 	            [2(H)=2]
643.14 643.38	DORIS:  	~Sam,
643.38 644.31	        	I was just dripping --
644.31 645.87	        	... (H) I was [just soaked].
645.16 645.70	SAM:    	              [Buckets]?
645.87 647.68	DORIS:  	.. I was just absolutely soaked.
647.68 648.29	        	.. Wasn't I.
648.29 648.61	ANGELA: 	.. Yeah.
648.61 649.77	        	(H) She c- (H) came in,
649.77 651.28	        	and sat down in [the rest]aurant,
650.72 650.96	SAM:    	                [(COUGH)]
651.28 652.17	ANGELA: 	You know and spent,
652.17 654.91	        	(H) ... the first ten or fif[teen min]utes,
654.06 654.45	DORIS:  	                            [%]
655.03 655.49	        	[2(H)2]
654.99 655.48	ANGELA: 	[2@@2]
655.48 656.90	        	(H) stopping the flow of --
656.90 659.38	        	[(H)](H) ... trickling down her neck.
657.14 657.43	DORIS:  	[(H)]
659.38 660.02	SAM:    	[2Oh=2],
659.80 660.36	ANGELA: 	[2@@2][3@3]
660.08 661.00	DORIS:  	      [3Oh3]= terrible.
661.00 662.01	        	... Just terrible.
662.01 664.11	ANGELA: 	... Oh well.
664.11 665.26	        	... (H)
665.26 665.55	DORIS:  	(H)[=]
665.55 665.87	ANGELA: 	   [I --
665.87 668.54	        	..] My other ~Do=ris .. does the same thing.
668.54 669.47	SAM:    	... (TSK) Oh [2does she2]?
669.05 669.54	ANGELA: 	             [2X2].
669.54 669.83	        	Yeah.
669.83 671.84	DORIS:  	... (H) Well what is it.
671.84 673.44	ANGELA: 	... I don't know.
673.44 674.25	        	She does[n't know].
673.92 675.68	SAM:    	        [Well some] people just perspire &
675.68 677.94	DORIS:  	Well I didn't [2persp- .. use to2] perspire like that,
676.54 676.91	SAM:    	& [2more2],
678.11 679.20	DORIS:  	.. but I sure have done it &
679.20 679.62	SAM:    	.. no,
679.62 681.32	        	[not to that ex]tent you [2didn't2].
679.77 680.36	DORIS:  	& [recently].
681.30 682.19	        	                         [2(H)2] % Th- that,
682.19 684.16	        	.. and the time we were up in uh=,
684.16 687.30	        	... M- Montgomery Wards.
687.30 687.99	        	Re[member]?
687.84 689.01	SAM:    	  [Oh=] ye[2=s2].
688.62 690.05	DORIS:  	          [2Oh boy2] was I soaked.
690.05 691.53	SAM:    	... That was just &
691.53 692.69	DORIS:  	And that was in the winter.
692.69 693.65	SAM:    	& .. weakness.
693.65 696.03	        	... Exertion.
696.03 697.93	DORIS:  	... Well maybe that's what this was.
697.93 698.79	        	.. [But anyway].
698.36 700.83	ANGELA: 	   [(TSK) (H) I wish] the stores would [2open earlier2].
699.94 701.01	DORIS:  	                                       [2(H) Ear2]lier.
701.01 702.08	        	... Yes.
702.08 702.97	        	.. [I do too].
702.30 703.39	SAM:    	   [Instead of ten] o'clock,
703.39 706.38	        	[2in the summer2]time they oughta open at least at nine,
703.43 703.92	DORIS:  	[2(H)2]
706.38 708.09	ANGELA: 	(H)= [3Well it would he-3] --
707.23 708.09	DORIS:  	     [3I'd say eight3].
708.09 709.02	ANGELA: 	.. % it would help.
709.02 710.65	        	Eight o'clock would [be fine].
710.07 712.60	SAM:    	                    [you hate to] start out ... at ten o'[2clock2].
712.56 713.37	DORIS:  	                                                         [2I'd2] say eight,
713.37 714.60	        	.. and quit at four.
714.60 715.47	SAM:    	... @[@]
715.23 718.04	ANGELA: 	     [(H)] You know the little folks who live above [2me2],
717.83 718.70	DORIS:  	                                                    [2(H)2] Mhm.
718.70 721.42	ANGELA: 	... (H) go over to .. Tucson Mall,
721.42 722.68	        	and [walk] every [2morning2].
721.68 721.97	DORIS:  	    [(SNIFF)]
722.37 722.86	        	                 [2Yeah2].
722.86 723.62	        	.. [3That's good3].
723.34 724.75	ANGELA: 	   [3(H) And there's3] a side door,
724.75 725.72	DORIS:  	... Mhm.
725.72 726.49	ANGELA: 	.. Unlocked.
726.49 727.75	        	So that they can go in,
727.75 729.23	        	... oh I [think] --
728.51 730.14	DORIS:  	         [A lotta] people do that.
730.14 732.90	ANGELA: 	... They go r=- [2uh- at least2] by eight o'clock.
730.77 731.66	DORIS:  	                [2(H)2]
732.90 733.57	        	.. Yeah.
733.57 734.60	ANGELA: 	... And they go= [i=n],
734.28 735.41	DORIS:  	                 [They go] in and walk.
735.41 736.82	ANGELA: 	... and then they know X,
736.82 738.65	        	(H) so many times around,
738.65 739.10	        	[you know],
738.67 739.16	DORIS:  	[Mhm].
739.16 739.73	        	.. [2Mhm2].
739.44 740.30	ANGELA: 	   [2(H)2] will um,
740.30 741.93	        	... (TSK) make a mile.
742.03 744.50	        	... And then there's a=,
744.50 747.61	        	.. soft drink place up there that they all congregate.
747.61 747.95	SAM:    	Oh.
747.95 748.34	        	@@
748.34 748.91	ANGELA: 	And uh,
748.91 750.32	DORIS:  	... Why don't you join em.
750.32 751.95	ANGELA: 	... and they have pi=ns,
751.95 754.16	        	when they (H) cover fifty miles,
754.16 755.05	        	or whatever [you know,
754.88 755.17	DORIS:  	            [Yeah],
755.17 756.30	ANGELA: 	and a hun]dred miles of,
756.60 757.66	        	(H) @@ [2(H)2]
757.13 758.51	SAM:    	       [2What out2]fit is this from.
758.51 759.30	        	Oasis?
759.30 760.36	ANGELA: 	.. (H) No,
760.36 761.26	DORIS:  	(H) [no,
760.91 761.47	ANGELA: 	    [it's a-] --
761.26 762.85	DORIS:  	it's just] a neighborhood thing.
762.85 765.19	        	.. [2It's just people2] around in that area,
763.04 763.50	ANGELA: 	   [2it's n=e-2] --
765.19 766.84	DORIS:  	(H) and they go there to walk.
766.84 767.43	SAM:    	(H)[=]
767.38 767.95	DORIS:  	   [I think].
767.90 769.91	        	... (H) I think that's it.
769.91 772.40	        	... But uh=,
772.40 773.84	        	... (H) I- --
773.84 774.01	        	uh --
774.01 775.03	        	we've been over there,
