0.00 2.98	MONTOYA: 	What else.
173.23 175.62	        	... Hm?
175.62 176.14	        	... No.
176.14 178.60	        	... <X Unh_unh X>.
178.60 179.03	        	We haven't.
179.03 180.03	        	.. And uh we're gonna get into that,
180.03 180.91	        	.. in our discussion.
180.91 181.28	        	.. Alright.
181.28 181.89	        	(H) So,
181.89 185.31	        	.. the whole notion of power is very important ... to understand,
185.31 185.81	        	because,
185.81 187.86	        	here I am making some statements.
187.86 188.33	        	Alright?
188.33 191.41	        	... Some generalities that some people would say are not true=.
191.41 194.54	        	I mean how can (H) Doctor ~Montoya say that Latinos have no=,
194.54 195.48	        	no real power,
195.48 196.20	        	no fear factor,
196.20 196.87	        	After all,
196.87 199.38	        	(H) they have two people that are cabinet members,
199.38 202.12	        	.. they have (H) supervisor here in Los Angeles,
202.12 204.23	        	they have city council people in Los Angeles,
204.23 206.32	        	and yet he's saying that they have no power.
206.32 209.45	        	.. (H) Well power is relative ... as well.
209.45 209.80	        	right?
209.80 210.40	        	.. It's relative.
210.40 211.38	        	It's relational.
211.38 213.05	        	... Power is relational.
213.05 214.92	        	... How can you measure power.
214.92 217.99	        	... Power is impossible to measure.
217.99 218.52	        	... Alright?
218.52 219.42	        	.. In other words,
219.42 221.51	        	you cannot break power apart into vi_ __
221.51 223.14	        	(H) various ingredients,
223.14 224.14	        	.. and say,
224.14 224.75	        	... A,
224.75 225.31	        	... B,
225.31 225.99	        	... C,
225.99 226.33	        	... D,
226.33 227.68	        	these are the ingredients of power.
227.68 229.54	        	(H) .. We can make generalities.
229.54 231.20	        	... Position.
231.20 231.89	        	... Wealth.
231.91 233.52	        	... All these different things that I've talked about.
233.52 235.96	        	(H) But power is difficult to measure.
235.96 237.10	        	... So that,
237.10 239.65	        	.. we must deal with the whole question of empowerment,
239.65 245.01	        	... from also the perspective of potential power (H) versus actual power.
245.01 246.71	        	... There is a difference.
246.71 248.37	        	... If I am,
248.37 249.71	        	... for example,
249.71 253.83	        	... the president (H) .. of .. a major labor union,
253.83 255.32	        	.. or a major corporation.
255.32 257.29	        	... the position,
257.29 259.14	        	.. (H) as president of that entity,
259.14 260.85	        	... gives me so much power.
260.85 265.27	        	... But yet if I do not know how to utili=ze,
265.27 267.55	        	... that entity in terms of its mobilization,
267.72 269.28	        	(H) .. for a given objective,
269.28 270.30	        	.. like a labor union.
270.30 272.38	        	.. If I have fourteen million people as members,
272.38 274.72	        	(H) and I don't show any manifestation of power,
274.72 275.60	        	am I powerful.
275.60 277.00	        	... Well,
277.00 279.86	        	.. it has to be measured by what ... you're trying to do.
279.86 281.21	        	what the objectives are.
281.21 283.49	        	... Example.
283.49 285.26	        	... L=abor today,
285.26 292.30	        	is being challenged by perhaps one of the most ... serious ... pieces ... of __
292.30 294.10	        	... not legislation per se,
294.10 295.78	        	because it's not in a legislative form yet,
295.78 296.50	        	(H) but,
296.50 299.29	        	.. a proposed North American Free Trade Agreement,
299.29 301.58	        	... that if passed by Congress,
301.58 304.96	        	.. is going to impact ... three economies.
304.96 305.54	        	... Canada,
305.54 306.06	        	.. U.S.,
306.06 306.81	        	.. and Mexico.
306.81 308.08	        	... (H) L=abor,
308.08 309.19	        	as a sector,
309.19 311.53	        	... is going to be the most .. impacted.
311.53 318.24	        	... How is labor today ... mobilizing .. its great power.
318.24 321.73	        	... Uh not just the AFL_CIO and its fourteen million members,
321.73 323.65	        	(H) but the United Auto Workers,
323.65 325.47	        	.. and many other or_ .. labor organizations,
325.47 326.19	        	.. what are they doing.
326.19 328.43	        	.. to influence .. public .. policy.
328.43 329.99	FRANK:  	... Combining power.
329.99 330.64	MONTOYA: 	... Huh?
330.57 331.73	FRANK:  	.. They're combining their power.
331.73 333.02	MONTOYA: 	.. How are they combining their power.
333.02 334.52	FRANK:  	.. By al_ allying with other,
334.52 335.40	        	.. um,
335.40 337.09	        	... (TSK) unions [<X of workers X>].
336.14 336.52	MONTOYA: 	                 [Alright,
336.52 338.49	        	they're they're they're] forming coalitions,
338.57 339.43	        	.. among themselves,
339.43 340.80	        	they're forming coalitions with who.
340.80 341.88	        	Environmental groups.
341.88 342.37	        	right?
342.37 346.64	        	... Cause .. environment supposedly is going to be also negatively impacted.
346.64 348.15	        	... especially along the border.
348.19 349.07	        	... Alright,
349.07 349.47	        	.. so there's_,
349.47 351.07	        	.. there's a lot of coalition building.
351.07 353.62	        	... But can you say as a historian,
353.62 357.22	        	... that labor is doing what they were infamous for doing thirty forty years ago?
357.22 358.25	        	.. Taking [to the] streets?
357.43 357.83	FRANK:  	          [No].
358.25 359.40	        	No they've definitely lost power.
359.40 360.28	MONTOYA: 	... Alright,
360.28 360.93	        	.. good point.
360.93 361.39	        	.. They have __
361.39 362.00	        	.. He said,
362.00 363.30	        	.. they have lost power.
363.30 366.85	        	(H) So your measurement .. of a loss of power is based on what.
366.85 369.10	FRANK:  	... What they can and can't X[XX].
368.67 369.22	MONTOYA: 	                             [Alright].
369.22 370.25	        	... Alright.
370.25 371.36	        	... You don't see,
371.41 372.44	        	... what you've read about=.
372.64 372.99	        	... right?
372.99 373.42	FRANK:  	.. Right.
373.42 373.77	MONTOYA: 	.. today.
373.77 374.27	        	.. Alright.
374.27 375.22	        	.. That's one perception.
375.22 379.84	        	... Is the Black community less powerful today,
379.84 380.89	        	.. in nineteen_ninety_three,
380.89 381.82	        	than it wa=s,
381.82 385.45	        	(H) ... in nineteen ... sixty ... eight.
385.45 387.89	        	... with the poor people's march on Washington,
387.89 389.50	        	(H) .. or nineteen_sixty_three,
389.50 390.74	        	... again,
390.74 393.22	        	.. on the w_ uh= march .. uh to Washington,
393.22 394.56	        	... on Washington,
394.56 397.39	        	.. when Martin Luther King gave his (H) ... famous speech,
397.39 398.23	        	I have a dream.
398.23 400.13	        	.. There were three hundred thousand people.
400.13 402.14	        	... at that march in nineteen_sixty_three.
402.14 406.33	        	... Which ... period .. of time,
406.33 407.38	        	historically speaking,
407.38 410.67	        	(H) .. was a time where Blacks were manifesting much more power.
410.67 413.08	        	... Today,
413.08 413.89	        	.. or nineteen_sixty_three,
413.89 414.73	        	or nineteen_sixty_eight.
414.73 416.24	        	... When.
416.24 418.10	RACHEL: 	<X When they m_ X> manifest,
418.10 419.55	        	they're beginning to get more power?
419.55 420.51	MONTOYA: 	.. % When uh,
420.51 421.00	        	in in comp_ __
421.00 421.30	        	[in in __
421.16 421.57	RACHEL: 	[Now]?
421.30 421.92	MONTOYA: 	When] do uh,
421.92 423.50	        	<X make X> a comparison nineteen_ninety_three,
423.50 424.50	        	(H) nineteen_sixty_eight,
424.50 425.42	        	.. nineteen_sixty_three,
425.42 427.49	        	... during those three periods,
427.49 428.05	        	.. when,
428.05 428.92	        	.. would you say,
428.92 431.20	        	.. Blacks .. demonstrated .. much more power.
431.20 434.00	RACHEL: 	... Now?
434.00 435.43	        	... They have more power now.
435.43 436.30	MONTOYA: 	... They have more power?
436.30 437.10	        	.. Why do you say that.
437.10 439.06	RACHEL: 	... Cause they're more recognized.
439.06 440.26	        	... <X I mean X>,
440.26 444.33	MONTOYA: 	... (H) Does recognition give you power?
444.33 447.12	        	... Hm?
447.12 447.97	X:      	... <P Yeah P>.
447.97 449.54	FRANK:  	... To a_ __
449.54 450.84	        	.. To some ... aspects,
450.84 451.13	        	yeah.
451.13 452.08	        	... I think,
452.08 452.65	        	.. I think the __
452.65 453.69	        	the problem with your question is,
453.69 455.09	        	s_ a different sort of powers.
455.09 456.39	MONTOYA: 	... Ah=.
456.39 457.41	        	Very good.
457.41 458.09	        	.. Explain that.
458.09 459.92	FRANK:  	... You have uh,
459.92 462.45	        	... you have African_Americans more institutionalized,
462.45 463.45	        	.. in [our] system now,
462.62 462.82	MONTOYA: 	   [<X Ah X>].
463.45 464.82	FRANK:  	.. than they were in six[2ty_eight2].
464.56 464.88	MONTOYA: 	                        [2Alright2].
464.88 465.58	        	Stop right there.
465.58 466.83	        	... Today,
466.83 468.53	        	... they have how many Congressmen?
468.53 470.76	        	... Thirty .. eight.
470.76 473.90	        	... Thirty ... eight ... congressional representatives.
473.90 477.10	        	... I don't know how many they had in nineteen_sixty_three,
477.10 478.09	        	I'm not even gonna try to guess,
478.09 480.94	        	but uh probably (H) no more than two or three if they were lucky.
480.94 481.80	        	... Alright.
481.80 482.47	        	... Would you say that?
482.47 483.23	FRANK:  	.. <X I would say that's right X>.
483.23 483.65	MONTOYA: 	Alright.
483.65 484.60	        	... Go on.
484.65 485.28	        	... What else.
485.28 486.93	FRANK:  	... I=n sixty_eight,
486.94 489.10	        	... the Blacks were a whole lot more .. mobile.
489.10 489.90	        	.. mobilized. 
489.90 491.06	        	... Much better mobilized,
491.16 493.24	        	.. three_hundred_thousand marching on Washington,
493.24 494.09	        	.. is an example.
494.09 495.48	        	... You probably couldn't get that today.
495.48 496.19	MONTOYA: 	Okay.
496.19 497.63	        	... Alright.
497.63 499.26	RAMON:  	... (COUGH)
499.26 500.16	MONTOYA: 	<X You know with X>Chicanos,
500.16 503.15	        	the highpoint of the mobilization capability was nineteen_seventy.
503.15 505.05	        	.. During the= era of the Vietnam W=ar.
505.05 508.51	        	.. Twenty_five_thousand Chicanos were mobilized in Los Angeles,
508.51 511.91	        	... %a_ %at the national Chicano moratorium .. against the war.
511.91 514.10	        	... No one.
514.10 515.75	        	... has come even close.
515.75 518.76	        	... With the exception of the death of Cesar Chavez recently,
518.76 521.11	        	(H) where there were approximately forty_thousand people,
521.11 522.88	        	... to mobilize.
522.88 525.11	        	... large numbers .. of people,
525.11 527.65	        	into some kind of a ... effort or movement.
527.65 528.61	        	... Alright.
528.61 530.18	        	... (H) So he's correct.
530.18 532.58	        	... It depends .. on the time,
532.58 534.02	        	.. depends on the circumstances,
534.02 535.44	        	(H) and the form of power.
535.44 537.96	        	(H) Institutionalized power is different from,
537.96 540.79	        	... the unconventional form that uh y_ you just described.
540.79 541.29	        	Alright.
541.29 542.66	        	.. (H) Well what we're trying to get at,
542.66 544.87	        	.. is potential .. versus .. actual.
544.87 547.37	        	... My argument,
547.37 548.97	        	... as humble as it is,
548.97 550.82	        	... is that .. Chicanos,
550.82 552.08	        	... in nineteen_ninety_three,
552.08 553.89	        	.. are fast developing,
553.89 556.74	        	... a high= .. potential for power,
556.74 560.81	        	... but they're a long way= from actualizing .. their true power.
560.81 562.99	        	... Okay?
562.99 563.51	        	In other words,
563.51 566.75	        	they're_ we're still at the= ... potential phase of our empowerment,
566.75 568.64	        	.. and not at the actual power phase.
568.64 570.40	        	... Alright.
570.40 571.26	        	.. Anything else?
571.26 572.53	        	.. On= those two concepts?
572.53 574.17	        	.. Alright.
574.17 577.50	        	... Let's get into= .. discussion on voter participation,
577.50 579.40	        	and these are kind of general comments,
579.40 582.11	        	... I don't have the time to give you a lot of statistics,
582.11 583.52	        	... but I'll give you some=,
583.52 586.61	        	... general uh= .. trends,
586.61 588.14	        	.. some statistical information,
588.14 589.61	        	(H) that will prove a point,
589.61 592.92	        	(H) that will introduce the subject ... of .. political participation, 
592.92 594.28	        	(H) in the United States.
594.28 596.47	        	... Now,
596.47 598.96	        	a democracy,
598.96 603.85	        	... the participation of the citizenry is imperative.
603.85 607.46	        	... It is ... absolutely imperative, 
607.46 608.98	        	... if it's to be a democracy,
608.98 610.47	        	to have the people participate.
610.47 612.74	        	(H) Now what am I trying to say.
612.74 614.34	        	... What am I trying to say.
614.34 619.29	        	... It is .. imperative for the people to participate,
619.29 621.66	        	... in the political process.
621.66 622.61	        	.. Another way of saying it.
622.61 623.34	        	.. What am I saying.
623.34 629.28	CAROLYN: 	... We have to vote,
629.28 630.32	        	... <X everyone X>,
630.32 632.89	MONTOYA: 	... But why is it important,
632.89 635.36	        	... in a democracy for the people to participate.
635.36 637.52	        	... Just deal with the question.
637.52 638.94	        	... Not the methods,
638.94 643.10	CAROLYN: 	.. <X You mean X> becaus=e .. if= ... the people don't v=ote,
643.10 644.09	        	.. it will be=,
644.09 646.63	        	... there will be an elite group,
646.63 648.67	        	it'll be .. m=ore of a .. m=onarchy,
648.67 650.76	        	... that has control,
650.76 652.31	        	... [it won't be] a democracy.
651.27 651.60	MONTOYA: 	    [Okay],
652.31 653.27	        	what's a monarchy.
653.27 654.60	RUBEN:  	... [Kings],
654.03 654.60	FRANK:  	    [One ruler],
654.60 655.44	CAROLYN: 	... Well [2one2] __
655.17 655.88	RUBEN:  	         [2Royalty2].
655.94 656.60	MONTOYA: 	... What?
656.60 657.84	FRANK:  	[One ruler],
656.91 657.68	RUBEN:  	[Royalty],
657.83 658.70	        	... [2or one family2].
657.68 659.32	CAROLYN: 	    [2XXXX2]
659.32 659.93	MONTOYA: 	.. Alright.
659.93 660.79	        	... Close.
660.79 663.90	        	... There's a royal .. type of family right,
663.90 664.49	        	... [king],
663.90 664.56	CAROLYN: 	    [Yeah].
664.56 665.81	MONTOYA: 	... not elected,
665.81 666.48	        	.. alright,
666.48 667.90	        	... hereditary,
667.90 668.68	        	et cetera et cetera,
668.68 669.12	        	.. alright.
669.12 670.54	        	... But what am I getting at.
670.54 672.77	        	... %W_ what's the= essence of what I'm asking for?
672.77 673.42	        	... Yes.
673.42 674.34	        	.. Fire away.
674.34 676.64	RUBEN:  	... By= ... its very nature,
676.64 679.02	        	.. democracy demands ... voting.
679.02 680.09	        	Without vo[ting XX] __
679.61 679.96	MONTOYA: 	          [Ah].
679.96 680.67	        	.. Stop right there.
680.67 681.35	        	.. You made a statement.
681.35 683.49	        	By the very nature of democracy.
683.49 685.85	        	.. (H) What is a democracy.
685.85 688.05	RUBEN:  	... Democracy is rule by the people.
688.05 688.64	MONTOYA: 	... Alright.
688.64 690.24	        	.. (H) <L2 Demos ... cratos L2>.
690.24 690.59	        	right?
690.59 692.11	        	... [People] ... rule.
690.83 691.80	RUBEN:  	    [XX]?
692.11 692.97	MONTOYA: 	Another Greek word.
692.97 698.40	        	.. The Greeks were .. major contributors to this political process of development,
698.40 699.26	        	.. of concepts.
699.26 701.09	        	<L2 Demos ... cratos L2>.
701.09 702.43	        	People ... govern,
702.43 703.34	        	or people rule.
703.34 703.91	        	.. Alright.
703.91 706.17	        	... We tell the world,
706.17 710.98	        	... that democracy ... is what .. we practice.
710.98 711.84	        	Is that correct?
711.84 713.93	        	.. Is that what we tell the world?
713.93 714.65	MANY:   	... Yeah.
714.65 714.99	MONTOYA: 	Yes?
714.99 715.60	        	.. Alright.
715.60 716.15	        	Would you agree <X with that X>?
716.15 716.67	        	.. Okay.
716.67 718.39	        	.. What else do we say,
718.39 721.13	        	selling ... our political system.
721.13 724.08	        	... (H) In selling our political system,
724.08 726.28	        	... we make it synonymous,
726.28 730.55	        	... synonymous .. by saying= that,
730.60 731.79	        	.. we don't distinguish,
731.79 734.10	        	... the form of economic system,
734.10 735.93	        	... versus the political system,
735.93 737.79	        	(H) and that we put it in the same kettle.
737.79 739.15	        	.. (H) Democracy,
739.15 740.41	        	... and capitalism,
740.41 741.84	        	... are essentially the same.
741.84 743.27	        	... Are they the same.
743.27 743.84	FRANK:  	... No.
743.84 744.41	MONTOYA: 	.. No.
744.41 745.54	        	... But yet we do.
745.54 747.05	        	.. (H) A=nd,
747.05 748.81	        	.. if we= .. listen carefully,
748.81 750.15	        	.. and read carefully,
750.15 752.95	        	... a=ll these books on international relations,
752.95 755.16	        	... foreign relations and so forth,
755.16 757.43	        	... what is it that we tell the world,
757.43 758.62	        	.. that America is.
758.62 761.18	        	... The cradle .. of democracy.
761.18 763.70	        	... We are the cradle of democracy,
763.70 766.27	        	(H) we are the bastion of the free world,
766.27 768.32	        	... et cetera et cetera et cetera.
768.32 771.19	        	.. And when (H) Ronald Reagan was in power,
771.19 773.24	        	... we talked about the evil empire.
773.24 773.63	        	right?
773.63 775.44	        	.. (H) Categorizing,
775.44 776.06	        	... uh=,
776.06 777.07	        	the Soviet Union,
777.07 779.47	        	... and the so_called Communist empire,
779.47 780.71	        	as a evil empire.
780.71 782.04	        	... Alright.
782.04 784.28	        	... I say this because,
784.28 785.72	        	(H) .. there is,
785.72 788.48	        	.. a tendency for some of us to= believe,
788.48 789.09	        	because,
789.09 790.11	        	.. we have been conditioned.
790.11 790.80	        	right?
790.80 792.81	        	... Who conditions us to think the way we think.
792.81 793.41	        	.. What did we deci_ __
793.41 793.98	        	.. What did we say.
793.98 794.55	        	.. earlier.
794.55 795.84	        	... talking about culture.
795.84 798.21	RACHEL: 	... Um,
798.21 799.77	        	.. they learn through .. schools,
799.77 800.88	        	.. [<X through their families X>].
799.77 800.31	MONTOYA: 	   [Schools.
800.31 801.02	        	right]?
801.02 801.74	        	... Schools.
801.74 802.40	        	... The media.
802.40 803.26	        	.. Everything else.
803.26 804.03	        	.. (H) .. I mean,
804.03 807.02	        	.. doesn't the media tell us that there's only a two_party system in this country?
807.02 807.92	FRANK:  	.. Mhm.
807.02 807.92	FRANK:  	.. Mhm.
807.92 808.67	        	Why is it
808.67 809.80	        	.. that the Communist Party,
809.80 811.02	        	the Socialist Workers Party,
811.02 812.10	        	the Prohibitionist Party,
812.10 813.54	        	the American Independent Party,
813.54 815.93	        	(H) ... all these parties that we have,
815.93 817.42	        	... supposedly minority parties,
817.42 820.21	        	... don't get the same kind of treatment,
820.21 822.76	        	... as the Democratic and Republican parties.
822.76 824.50	        	... They're not mainstream.
824.50 824.84	        	right?
824.84 826.60	        	... We have a two-party system.
826.60 830.06	        	(H) We are taught from the very beginning that there's only two parties.
830.06 832.98	        	.. That's a l- different subject.
832.98 833.22	        	.. But I'm --
833.22 833.46	        	.. What I'm --
833.46 835.40	        	The point I'm trying to make is that,
835.40 838.04	        	.. if we look ... into the realities,
838.04 840.41	        	.. of what we have as a political system,
840.41 842.57	        	... we tell the world,
842.57 845.19	        	that in this country democracy is very much alive,
845.19 846.15	        	because we ha=ve,
846.15 846.87	        	a congress,
846.87 847.44	        	we have,
847.44 848.53	        	(H) a supreme court,
848.53 849.71	        	.. we have a presidency,
849.71 851.41	        	(H) we have a political system=,
851.41 852.44	        	that i=s,
852.44 854.79	        	... governed by certain principles,
854.79 855.85	        	.. and law=s,
855.85 857.28	        	(H) that emanate from what.
857.28 858.74	        	... The Constitution.
858.74 860.45	        	... which is a living document.
860.45 861.41	        	The Constitution.
861.41 861.85	        	right?
861.85 864.32	        	(H) That is very much the document that protects,
864.32 866.11	        	(H) conceptually and otherwise,
866.11 867.54	        	... our way of life.
867.54 869.25	        	.. Our democracy and so forth.
869.25 869.87	        	... Well,
869.87 873.01	        	... if we remember .. our Chicano history,
873.01 874.19	        	... my point,
874.19 877.48	        	as we get into the whole question of Chicano political participation,
877.48 878.25	        	%is that,
878.25 880.54	        	(H) ... it's difficult,
880.54 882.22	        	.. for us as Chicanos,
882.22 883.43	        	.. as we get into it,
883.43 885.44	        	... to understand,
885.44 887.36	        	... why is it,
887.36 888.42	        	.. including ourselves,
888.42 890.93	        	.. because a lot of Chicanos don't even understand why we don't vote,
890.93 892.16	        	.. why don't we participate,
892.16 895.27	        	.. and they come up with all kinds of (H) somewhat superficial analysis,
895.27 897.07	        	... that,
897.07 899.48	        	.. m=uch of our political behavior,
899.48 903.08	        	... is a product of what ... was covered in this class,
903.08 904.07	        	.. under history,
904.07 904.88	        	(H) and culture,
904.88 905.76	        	and what did I say.
905.76 907.23	        	... Two.
907.23 908.64	        	... major currents,
908.64 909.90	        	... of history,
909.90 913.24	        	... two .. major currents of political culture,
913.24 913.90	        	... right?
913.90 915.33	        	And what is political culture.
915.33 916.88	        	... I'll get back to that concept.
916.88 917.91	        	But just .. general terms.
917.91 919.34	        	.. What is political culture.
919.34 927.60	        	... What is political culture.
927.60 929.99	        	... Alright.
929.99 930.89	        	.. I want you to think --
930.89 931.83	        	Put that concept down,
931.83 932.27	        	.. because you're gonna --
932.27 933.83	        	you're gonna hear about it in the next few minutes.
933.83 935.40	        	.. It's very important that you understand that concept.
935.40 936.17	        	Political culture.
936.17 937.20	        	(H) But I want --
937.20 939.18	        	.. Thing I want to underline here,
939.18 939.73	        	.. is that,
939.73 940.90	        	.. we are products,
940.90 942.69	        	(H) of a historical,
942.69 944.41	        	... dualistic process,
944.41 945.95	        	... Mexico's history,
945.95 946.87	        	US history,
946.87 947.70	        	(H) we're a pr- --
947.70 949.04	        	we're products of what?
949.04 950.73	        	... A cultural process,
950.73 952.04	        	that's also Mexican,
952.04 952.95	        	... and American.
952.95 954.06	        	... Whatever American means.
954.06 954.48	        	Alright?
954.48 957.40	        	... So those two major .. ingredients,
957.40 958.56	        	(H) have molded,
958.56 959.73	        	the rationale,
959.73 961.53	        	... that I'm using in this class,
961.53 962.59	        	.. to explain,
962.59 963.73	        	... why is it,
963.73 964.87	        	... that we're still,
964.87 967.07	        	... at the potential phase of empowerment,
967.07 968.36	        	... and we still,
968.36 969.91	        	... have a long ways to go,
969.91 971.45	        	... before we realize,
971.45 973.06	        	.. that concept that I describe,
973.06 974.32	        	... called empowerment.
974.32 978.23	        	... (H) But before we get into that s- .. substance of that,
978.23 979.29	        	(H) is that,
979.29 981.65	        	... I wanna just briefly cover,
981.65 983.22	        	... that,
983.22 985.78	        	... even though,
985.78 987.12	        	.. I'm saying that,
987.12 989.31	        	... Chicanos do not vote in great numbers.
989.31 992.45	        	... And we don't participate in many organizations in great numbers.
992.45 994.09	        	(H) The fact is,
994.09 995.57	        	... as I mentioned earlier,
995.57 998.21	        	... that even though we tell the world,
998.21 999.81	        	.. we are this beacon of light,
999.81 1001.27	        	... of freedom,
1001.27 1003.01	        	... of liberty,
1003.01 1003.58	        	.. justice,
1003.58 1004.81	        	and all these different things,
1004.81 1006.25	        	(H) by and large,
1006.25 1013.97	        	... not ... a lot of people .. participate .. politically .. across the board.
1013.97 1016.17	        	... I don't care if you're African-American,
