0.00 6.52	JAMIE:  	How [can you teach a three-year-old to] ta=p [2dance2].
299.00 301.00	        	The (H)= <VOX get over4] here you,
301.00 302.40	        	nya nya nya nya nya [5nya nya VOX>5].
301.70 303.48	HAROLD: 	                    [5Does she even5] have a b- a man-?
303.48 304.50	        	I guess she must.
304.50 306.00	MILES:  	... Does she have a what?
306.00 306.85	JAMIE:  	[A ma=n].
306.00 306.85	HAROLD: 	[A ma=n].
306.85 308.16	PETE:   	@@@
308.16 309.26	JAMIE:  	... She has some [kind of a] --
308.81 309.96	MILES:  	                 [At least] temporarily,
309.96 310.53	PETE:   	[2Yeah2],
309.96 310.58	HAROLD: 	[2Yeah2]=.
310.58 312.33	JAMIE:  	@@@ (H) [3At one time3].
311.05 312.25	HAROLD: 	        [3For about five minutes3],
312.25 312.88	        	probably.
312.88 313.23	MILES:  	@
313.23 313.48	PETE:   	@
313.48 317.18	JAMIE:  	@ (H) And they were banging their .. their soccer ball up against our --
317.18 319.33	        	.. below the bedroom .. th- the study window?
319.33 321.38	HAROLD: 	So ~Jamie the old lady went and yelled at em.
321.38 322.15	JAMIE:  	[I opened %] --
321.50 322.10	PETE:   	[Mhm],
322.15 323.00	JAMIE:  	(H) <VOX Ah=,
323.00 324.00	        	you mind moving,
324.00 324.95	        	getting away from there,
324.95 325.65	        	thank you= VOX>.
325.65 327.50	        	@(Hx) @I [felt like] such an old lady.
326.20 326.55	PETE:   	         [@@]
327.50 328.25	HAROLD: 	It's so [2bad,
327.92 328.97	JAMIE:  	        [2With those ki=ds2],
328.25 329.57	        	they make us feel2] [3so ol=d3].
328.92 329.92	PETE:   	                    [3How many of them3] are there.
329.92 330.79	HAROLD: 	.. Eight hundred.
330.79 331.52	PETE:   	n_[yow=].
331.19 331.64	JAMIE:  	  [@@]
331.64 332.34	HAROLD: 	There's two.
332.34 332.94	PETE:   	XX.
332.94 334.28	MILES:  	[(HISS)][2=2]
333.41 333.86	JAMIE:  	[No],
333.81 334.41	        	        [2there's2],
333.81 334.46	PETE:   	        [2@@2]
334.46 335.46	JAMIE:  	There's two young ones,
335.46 336.96	        	and one .. who's like twel=ve?
336.96 337.21	HAROLD: 	Oh,
337.21 337.91	        	the [cow=].
337.36 338.76	JAMIE:  	    [who has] .. frie=nds?
338.76 339.11	PETE:   	[2Unhunh2].
338.78 339.68	JAMIE:  	[2The-2] the cow=.
339.68 340.18	PETE:   	[3Hm3],
339.80 340.85	JAMIE:  	[3The3] older cow,
340.85 342.55	        	and then there's .. (H) the middle cow,
342.55 344.03	        	[and there's] [2a little2] [3young cow?
342.66 343.06	PETE:   	[@@]
342.96 343.41	MILES:  	              [2@@2]
343.46 344.33	PETE:   	                           [3The little baby cow,
344.03 344.83	JAMIE:  	.. The butterball=3]?
344.13 344.88	PETE:   	The calf3]?
344.88 346.10	HAROLD: 	Gee[4zh- Zheezhee4].
345.15 345.90	JAMIE:  	   [4The @butter- @4],
346.10 347.15	PETE:   	Zheezhee [5the calf5]?
346.60 347.50	JAMIE:  	         [5The butter5]ball @@.
347.50 347.70	HAROLD: 	@@@
347.70 348.05	PETE:   	@
348.05 349.56	JAMIE:  	(H) The butterball.
349.56 351.11	        	They used to have this little butterball,
351.11 351.31	        	r- --
351.31 352.16	        	when we first moved in,
352.16 352.46	        	he would,
352.46 354.72	        	(H)= ... he'd be running arou=nd,
354.72 357.37	        	... d- in the street with his diapers on.
357.37 359.75	        	... [this butterball of a kid].
358.42 359.50	HAROLD: 	    [and then he'd stop and go],
359.50 362.10	        	(H)(Hx)(H)(Hx)(H)[2(Hx)(H)(Hx)(H)(Hx)2].
360.60 362.10	JAMIE:  	                 [2He'd whee=ze2],
362.10 363.05	        	... once he stopped [3running3].
362.82 363.62	HAROLD: 	                    [3Cause he's3] so fat,
363.62 364.77	        	.. that whenever he ru=ns,
364.77 365.77	        	he gets really winded.
365.77 366.82	        	... And he's,
366.82 367.37	        	.. you know,
367.37 369.32	        	.. a year and a half yea- .. years old.
369.32 370.22	JAMIE:  	Or two years old.
370.22 371.27	HAROLD: 	A year and a half old.
371.27 373.52	JAMIE:  	... <@ A year and a half years old @>.
373.52 374.17	PETE:   	@@@
374.17 375.52	MILES:  	@@ [.. @@]
374.84 377.30	JAMIE:  	   [(H)]=
377.30 378.08	        	Uh.
378.08 380.25	        	... They're terrible.
380.25 382.31	        	... [Really].
381.80 382.25	HAROLD: 	    [I can't] t- --
382.25 382.91	        	How do you --
382.91 384.01	        	She just looks pregnant?
384.01 384.36	        	[now]?
384.13 384.93	JAMIE:  	[She's] pregnant.
384.93 385.88	        	She's totally pregnant.
385.88 386.33	HAROLD: 	Oh.
386.33 387.78	JAMIE:  	.. It's not .. eating too much,
387.78 388.38	        	she's pregnant.
388.38 388.93	HAROLD: 	So=,
388.93 389.63	        	I guess,
389.63 392.70	        	... I mean thi- this- thi- this just happened?
392.70 393.00	        	Or,
393.00 394.25	JAMIE:  	We're gonna have babies crying.
394.25 396.00	        	... [in the middle of the night].
394.52 395.57	HAROLD: 	    [(GROAN)]
396.00 398.50	        	... Well it's no worse than her screaming at em,
398.50 398.85	        	is it?
398.85 400.85	PETE:   	... Yeah but now you'll have both.
400.85 402.15	JAMIE:  	... Yeah right.
402.15 402.85	        	... Probably be like,
402.85 403.95	        	<VOX shut up you ki- VOX>,
403.95 404.45	        	you know,
404.45 405.51	        	XX?
405.51 406.11	        	Oh= Go=d.
406.11 409.25	        	... I feel --
409.25 410.65	        	I s- feel like such an old lady.
410.65 411.05	        	But I --
411.05 412.55	        	they just really annoy me.
412.55 415.98	        	... (SIGH) [kay],
415.76 415.98	MILES:  	           [Hunh].
415.98 416.58	JAMIE:  	New subject,
416.58 417.13	        	@@
417.13 417.58	PETE:   	Hm.
417.58 418.61	JAMIE:  	@@ (H)
418.61 420.16	HAROLD: 	Well it's cause they have no respect.
420.16 420.86	JAMIE:  	<P Yeah,
420.86 421.51	        	I guess so P>.
421.51 427.57	MILES:  	... Those two top ma=sks,
427.57 428.07	        	.. there.
428.07 430.37	HAROLD: 	... Yep.
430.37 431.29	JAMIE:  	... @@@
431.29 432.13	HAROLD: 	[We need a verb].
431.51 433.21	MILES:  	[I guess the] [2ones below are women2],
432.26 433.21	PETE:   	              [2@@@@@2]
432.18 433.21	JAMIE:  	              [2@@@(H)2]
433.21 434.44	MILES:  	[3Is that why they look so different3]?
433.22 434.32	JAMIE:  	[3@@ (H)3]
434.44 435.14	HAROLD: 	.. Uh-oh.
435.14 435.74	MILES:  	I mean,
435.74 436.49	        	.. i%- --
436.49 438.69	        	... Well you see their eyeballs,
438.69 439.19	        	[I guess].
438.86 439.21	PETE:   	[Right].
439.36 440.21	        	.. Yeah [2the other2] --
439.58 441.63	MILES:  	        [2In addition2] to a mustache and a beard.
441.63 443.23	        	... But the thing is,
443.23 446.68	        	[that second one looks like the guy] who was in [2one of the2] [3Oba Oba3] skits.
443.15 443.70	JAMIE:  	[Do you know those --
443.70 444.73	        	.. any of those dances]?
445.21 445.66	PETE:   	                                                [2All of em2].
445.66 446.18	JAMIE:  	                                                               [3All of em?
446.68 447.08	        	(TSK (H)3]
447.08 447.78	HAROLD: 	... The little what?
447.78 448.58	MILES:  	... Looks like,
448.58 449.18	        	.. th=e second &
449.18 449.43	PETE:   	<X Why X>,
449.43 452.38	MILES:  	& one from the top looks like a guy who was in the Oba Oba k- skit.
452.38 453.88	HAROLD: 	... What's an Oba Oba [skit].
453.43 454.13	JAMIE:  	                      [Oba O]ba,
454.13 455.68	        	oh the Brazilian troop that was here,
455.68 456.15	        	                      [dancing]?
455.71 455.96	MILES:  	                      [Yeah].
456.15 456.50	PETE:   	Oh yeah?
456.50 458.25	JAMIE:  	... I never [saw that].
457.67 458.17	PETE:   	            [Look like] --
458.40 459.15	        	.. %% a real- --
459.15 460.30	        	an actual person doing it,
460.30 461.35	        	or some kind of masks they had,
461.35 461.40	        	or,
461.40 461.80	MILES:  	No=.
461.80 462.36	        	Uh=,
462.36 463.51	        	the guy [looked like that].
462.83 463.88	PETE:   	        [Or there's a guy looked] like that.
463.88 464.63	JAMIE:  	@[2@2]
464.25 464.60	HAROLD: 	 [2Yeah2],
464.60 465.18	PETE:   	@@@
465.18 466.39	        	[(H) That's pretty] good,
465.18 465.93	MILES:  	[X Just like him].
466.39 466.74	JAMIE:  	(H)
466.74 467.16	HAROLD: 	[<X With the right X>] --
466.75 468.60	MILES:  	[I mean] that looks kinda like a Black person.
468.60 469.40	HAROLD: 	<SM With red eyes,
469.40 469.85	        	and everything SM>?
469.85 471.00	MILES:  	So where is this fro=m.
471.00 471.85	        	... This isn't from Africa,
471.85 472.30	        	is it?
472.30 472.80	HAROLD: 	.. No=.
472.80 473.55	        	... From Indonesia.
473.55 475.30	MILES:  	... % But that person looks Bla=ck.
475.30 476.65	PETE:   	... Which one [is it]?
475.95 477.95	MILES:  	              [Or do] Indonesian [2people look Black2].
477.00 478.15	JAMIE:  	                                 [2Looks pink to me2].
478.15 478.70	PETE:   	The- --
478.70 479.20	        	which one.
479.20 479.70	        	.. The= --
479.70 481.95	MILES:  	.. I [figure the second] [2one from the to2][3p3].
479.82 480.52	HAROLD: 	     [Tumenggung].
480.42 481.37	JAMIE:  	                         [2The second from the2] [3top3],
481.14 481.79	PETE:   	                                            [3Tumeng3]gung?
481.79 482.64	        	... Hunh.
482.64 483.99	MILES:  	I look at that and think,
483.99 484.19	        	yeah,
484.19 485.14	        	that looks like a brother.
485.14 486.19	PETE:   	... That's [interesting,
485.71 487.05	JAMIE:  	           [@ @@
486.19 487.76	PETE:   	.. cause I think Indo- Indonesians],
487.05 487.76	JAMIE:  	think (H)]?
487.76 488.01	PETE:   	or,
488.01 489.41	        	.. people who've been to Indonesia,
489.41 490.51	        	.. think that those guys,
490.51 491.76	        	like the two top ones,
491.76 493.51	        	... have really European characteristics.
493.51 494.71	        	... [compared] to Indonesians.
493.76 494.01	JAMIE:  	    [Uh],
494.71 497.36	PETE:   	... Just cause their eyes are real [2big and their noses are big2].
496.08 497.13	HAROLD: 	                                   [2Their eyes are rou=nd2].
497.36 498.31	JAMIE:  	... Oh [3really=3]?
497.93 499.53	PETE:   	       [3And Indonesians3] have real thin eyes,
499.53 499.98	        	and,
499.98 501.28	        	... and flat noses and stuff.
501.28 504.71	        	... <P I= don't know P>.
504.71 506.15	HAROLD: 	... Except those,
506.15 506.50	        	.. well=,
506.50 506.90	        	... I don't know,
506.90 507.20	        	the- --
507.20 509.45	        	.. the bottom ones [don't have flat noses either].
507.82 508.77	PETE:   	                   [That's <X true X> they all have b- --
508.77 509.80	        	they all have big] noses.
509.80 511.42	        	... But they get bigger as you go up anyway.
511.42 513.15	HAROLD: 	What do you think makes em look African.
513.15 517.37	JAMIE:  	... Their mustaches?
517.37 518.97	HAROLD: 	... Is it the % --
518.97 521.99	        	... the way their little beard goes?
521.99 523.02	JAMIE:  	... @[@@]
522.51 523.02	MILES:  	     [Oh no].
523.02 524.02	        	That's not even relevant.
524.02 524.82	        	... I- d- --
524.82 525.92	        	I just glanc[ed at] that,
525.47 525.72	PETE:   	            [Hunh].
525.92 528.42	MILES:  	and I [2immediate2]ly saw this guy='s face in Oba Oba.
526.12 526.37	PETE:   	      [2Yeah2].
528.42 528.67	        	Hunh.
528.67 529.67	        	<P That's inter[esting P>].
529.17 530.57	MILES:  	               [He looks] like .. that guy.
530.57 531.32	JAMIE:  	... Poor guy,
531.32 532.57	HAROLD: 	.. That is [really] [2interesting2].
531.84 532.54	JAMIE:  	           [@] [2@@@2]
531.89 532.49	PETE:   	                    [2@@@@2]
532.54 533.97	JAMIE:  	.. @(H)=
533.97 534.32	PETE:   	Yeah.
534.32 535.22	JAMIE:  	Bulging eyes.
535.22 537.73	MILES:  	... Cause I remember,
537.73 540.18	        	he came to Bahia after one of his shows one night.
540.18 541.18	        	.. 's kinda funny.
541.18 541.83	JAMIE:  	Wow.
541.83 543.78	HAROLD: 	... Well the top guy has a real thick lip.
543.78 545.58	MILES:  	Oh in his black leather jacket and [his] black &
544.95 545.20	PETE:   	                                   [Mm].
545.58 546.68	HAROLD: 	Klana has a real [2thick lip2].
546.08 547.01	MILES:  	& [2hood2] hat,
547.01 547.48	PETE:   	Right.
