index,dialect,word
114,arizona,hassayampa
115,arizona,hosteen
116,arizona,niggerhead
117,arizona,sotol
118,arizona,yant
119,arizona,zanja
120,arizona,zanjero
121,arkansas,appaloosa
122,arkansas,arkansawyer
123,arkansas,ault
124,arkansas,blackland
125,arkansas,jimplecute
126,arkansas,rubboard
127,arkansas,siwash
128,arkansas,sluice
129,arkansas,suggin
130,bahamian,coonah
131,bahamian,dicty
132,bahamian,duppy
133,bahamian,humbug
134,bahamian,icening
135,bahamian,jawbone
136,bahamian,joog
137,bahamian,nyam
138,california,ajo
139,california,amole
140,california,angeleno
141,california,batfish
142,california,bayo
143,california,blueblossom
144,california,buckbrush
145,california,buddhahead
146,california,burroweed
147,california,campoody
148,california,canchalagua
149,california,cascaron
150,california,chamisal
151,california,chamise
152,california,checkerbloom
153,california,chilicothe
154,california,chilipepper
155,california,chinquapin
156,california,chispa
157,california,chubasco
158,california,cioppino
159,california,clamper
160,california,compie
161,california,crevice
162,california,dingy
163,california,dobe
164,california,doghole
165,california,embarcadero
166,california,enchilada
167,california,escobita
168,california,estero
169,california,fester
170,california,filione
171,california,flattop
172,california,gallito
173,california,garrupa
174,california,goldwire
175,california,grassnut
176,california,greasewood
177,california,gumweed
178,california,jacksnipe
179,california,jewfish
180,california,kelpfish
181,california,kingfish
182,california,linnet
183,california,littleneck
184,california,madrone
185,california,mahala
186,california,meadowsweet
187,california,medialuna
188,california,milquetoast
189,california,moronel
190,california,niggertoe
191,california,okie
192,california,pachuco
193,california,panguingue
194,california,parada
195,california,pennyroyal
196,california,pepperwood
197,california,pigeonberry
198,california,piker
199,california,pogy
200,california,polenta
201,california,porky
202,california,potrero
203,california,riffle
204,california,ripgut
205,california,roble
206,california,sandburr
207,california,skibby
208,california,skipjack
209,california,sluice
210,california,smelt
211,california,soaproot
212,california,sowbelly
213,california,spikeweed
214,california,squato
215,california,stinkbug
216,california,stobber
217,california,sundowner
218,california,tamale
219,california,tamarack
220,california,thimbleberry
221,california,tomcod
222,california,tule
223,california,wokas
224,california,wriggler
225,california,zanja
226,california,zanjero
227,caribbean,broadus
228,cherokee,conohany
229,cherokee,conutchie
230,cherokee,cullowhee
231,cherokee,sochan
232,choctaw,appaloosa
233,choctaw,bashaw
234,choctaw,bobbasheely
235,choctaw,bogue
236,choctaw,chickee
237,choctaw,sacalait
238,choctaw,skully
239,colorado,dagwood
240,colorado,doney
241,colorado,greaser
242,colorado,penco
243,colorado,penitente
244,connecticut,alewife
245,connecticut,angledog
246,connecticut,chickwit
247,connecticut,glawackus
248,connecticut,lobber
249,connecticut,merrywing
250,connecticut,pigsticker
251,connecticut,pumpkinseed
252,connecticut,sproutland
253,connecticut,tomcod
254,connecticut,topgallant
255,delaware,garlicky
256,delaware,papershell
257,delaware,tacker
258,florida,bayhead
259,florida,chickee
260,florida,chizzywink
261,florida,dominicker
262,florida,fatwood
263,florida,flinthead
264,florida,gannet
265,florida,grampus
266,florida,hornback
267,florida,hummock
268,florida,inkwood
269,florida,ironhead
270,florida,jook
271,florida,ladyfish
272,florida,nakedwood
273,florida,packenham
274,florida,pilau
275,florida,pollywog
276,florida,scaper
277,florida,shivaree
278,florida,sofkee
279,florida,steephead
280,florida,stumpknocker
281,florida,swale
282,florida,torchwood
283,florida,turkeyberry
284,florida,twinflower
285,georgia,acquaintun
286,georgia,bactize
287,georgia,broadus
288,georgia,buckra
289,georgia,conflutement
290,georgia,cooter
291,georgia,dingnation
292,georgia,fanner
293,georgia,fatwood
294,georgia,flinthead
295,georgia,guano
296,georgia,hardhead
297,georgia,hornback
298,georgia,ironhead
299,georgia,jook
300,georgia,loggerhead
301,georgia,magofer
302,georgia,packhouse
303,georgia,palement
304,georgia,pilau
305,georgia,pontop
306,georgia,ricebird
307,georgia,sandhiller
308,georgia,scaper
309,georgia,scuffletonian
310,georgia,scuppernong
311,georgia,seeny
312,georgia,slipstone
313,georgia,stumpknocker
314,georgia,swonger
315,georgia,thunderwood
316,georgia,tickbird
317,georgia,twistification
318,georgia,urp
319,georgia,zoon
320,hawaii,`u`u
321,hawaii,abuji
322,hawaii,ahana
323,hawaii,ahi
324,hawaii,ahina
325,hawaii,ahiu
326,hawaii,aho
327,hawaii,aholehole
328,hawaii,ahupuaa
329,hawaii,aihue
330,hawaii,aikane
331,hawaii,ajusi
332,hawaii,akua
333,hawaii,akualele
334,hawaii,akule
335,hawaii,alabia
336,hawaii,alanui
337,hawaii,algaroba
338,hawaii,alii
339,hawaii,amakihi
340,hawaii,aole
341,hawaii,apapane
342,hawaii,arigato
343,hawaii,atsui
344,hawaii,auau
345,hawaii,auhuhu
346,hawaii,auwaha
347,hawaii,auwai
348,hawaii,auwana
349,hawaii,auwe
350,hawaii,bagoong
351,hawaii,bango
352,hawaii,bata
353,hawaii,bayao
354,hawaii,borinki
355,hawaii,buddhahead
356,hawaii,canuck
357,hawaii,chorizo
358,hawaii,eha
359,hawaii,ehu
360,hawaii,eleele
361,hawaii,gohan
362,hawaii,hala
363,hawaii,halulu
364,hawaii,hanahana
365,hawaii,hanai
366,hawaii,hanau
367,hawaii,haole
368,hawaii,haolified
369,hawaii,hapa
370,hawaii,hapai
371,hawaii,hapuu
372,hawaii,hau
373,hawaii,hauna
374,hawaii,haupia
375,hawaii,hele
376,hawaii,hemo
377,hawaii,hikiee
378,hawaii,hilahila
379,hawaii,hinahina
380,hawaii,holo
381,hawaii,holoku
382,hawaii,holomuu
383,hawaii,honohono
384,hawaii,hoomalimali
385,hawaii,huhu
386,hawaii,hukilau
387,hawaii,huli
388,hawaii,humbug
389,hawaii,hybolic
390,hawaii,iiwi
391,hawaii,ili
392,hawaii,ilima
393,hawaii,ilio
394,hawaii,imu
395,hawaii,inamona
396,hawaii,inia
397,hawaii,kaa
398,hawaii,kahala
399,hawaii,kahili
400,hawaii,kakio
401,hawaii,kalakoa
402,hawaii,kalikali
403,hawaii,kalua
404,hawaii,kamaaina
405,hawaii,kamaboko
406,hawaii,kamani
407,hawaii,kanaka
408,hawaii,kapakahi
409,hawaii,kapu
410,hawaii,kapulu
411,hawaii,kauka
412,hawaii,kaukau
413,hawaii,kawakawa
414,hawaii,keiki
415,hawaii,kiawe
416,hawaii,kini
417,hawaii,kokua
418,hawaii,kotonk
419,hawaii,kou
420,hawaii,kukae
421,hawaii,kukui
422,hawaii,kuleana
423,hawaii,kulikuli
424,hawaii,kulolo
425,hawaii,kumu
426,hawaii,kupipi
427,hawaii,lauhala
428,hawaii,laulau
429,hawaii,leatherback
430,hawaii,lilikoi
431,hawaii,limu
432,hawaii,lomi
433,hawaii,mahalo
434,hawaii,mahimahi
435,hawaii,mahope
436,hawaii,mahu
437,hawaii,maikai
438,hawaii,maile
439,hawaii,makahiki
440,hawaii,makai
441,hawaii,makiawa
442,hawaii,makule
443,hawaii,malassada
444,hawaii,malihini
445,hawaii,malolo
446,hawaii,mamani
447,hawaii,manapua
448,hawaii,manienie
449,hawaii,manini
450,hawaii,manuahi
451,hawaii,maomao
452,hawaii,mauka
453,hawaii,mele
454,hawaii,menehune
455,hawaii,milkfish
456,hawaii,moana
457,hawaii,moano
458,hawaii,moemoe
459,hawaii,mokihana
460,hawaii,molowa
461,hawaii,momona
462,hawaii,muumuu
463,hawaii,naio
464,hawaii,nani
465,hawaii,nene
466,hawaii,nohu
467,hawaii,noio
468,hawaii,ohelo
469,hawaii,ohia
470,hawaii,oio
471,hawaii,okole
472,hawaii,okolehao
473,hawaii,oopu
474,hawaii,opakapaka
475,hawaii,opala
476,hawaii,opelu
477,hawaii,opihi
478,hawaii,opiopio
479,hawaii,opu
480,hawaii,pahoehoe
481,hawaii,pake
482,hawaii,palila
483,hawaii,panini
484,hawaii,paniolo
485,hawaii,paopao
486,hawaii,papio
487,hawaii,pa‘u
488,hawaii,pikake
489,hawaii,piko
490,hawaii,pili
491,hawaii,pilikia
492,hawaii,pinao
493,hawaii,poha
494,hawaii,pohaku
495,hawaii,poho
496,hawaii,pohuehue
497,hawaii,popolo
498,hawaii,pueo
499,hawaii,puka
500,hawaii,pulu
501,hawaii,punee
502,hawaii,pupu
503,hawaii,pupule
504,hawaii,sashimi
505,hawaii,shishi
506,hawaii,skipjack
507,hawaii,tabi
508,hawaii,tapa
509,hawaii,tita
510,hawaii,uhi
511,hawaii,uhu
512,hawaii,uka
513,hawaii,uki
514,hawaii,uku
515,hawaii,ulu
516,hawaii,ulua
517,hawaii,upapalu
518,hawaii,vog
519,hawaii,wahine
520,hawaii,weke
521,hawaii,wikiwiki
522,hawaii,wiliwili
523,hawaii,yobo
524,hawaii,zori
525,idaho,pelota
526,illinois,bube
527,illinois,catalpa
528,illinois,limpa
529,illinois,lutefisk
530,illinois,parky
531,illinois,squadrol
532,illinois,velvetweed
533,illinois,whooee
534,illinois,yellowhammer
535,"illinois, chicago",lugen
536,"illinois, chicago",squadrol
537,indiana,berm
538,indiana,catalpa
539,indiana,popple
540,indiana,whooee
541,iowa,dagwood
542,iowa,grinnie
543,iowa,kittenball
544,iowa,squinny
545,iowa,tennie
546,iowa,whooee
547,kansas,bandy
548,kansas,broomweed
549,kansas,doodinkus
550,kansas,eversharp
551,kansas,soddy
552,kentucky,bettywood
553,kentucky,burgoo
554,kentucky,catalpa
555,kentucky,chughole
556,kentucky,cowsucker
557,kentucky,drat
558,kentucky,feedway
559,kentucky,funeralizing
560,kentucky,gaum
561,kentucky,hardboot
562,kentucky,hazenut
563,kentucky,hogback
564,kentucky,homebreaker
565,kentucky,joeboat
566,kentucky,misput
567,kentucky,nettleweed
568,kentucky,newlight
569,kentucky,nubbin
570,kentucky,oodlins
571,kentucky,rastus
572,kentucky,snollygoster
573,kentucky,splo
574,kentucky,spodge
575,kentucky,talpa
576,kentucky,uptrip
577,kentucky,wallink
578,kentucky,yagger
579,louisiana,alisier
580,louisiana,arminette
581,louisiana,arpent
582,louisiana,banquette
583,louisiana,batture
584,louisiana,beignet
585,louisiana,blackland
586,louisiana,bogue
587,louisiana,boogerlee
588,louisiana,boucherie
589,louisiana,boudin
590,louisiana,bourré
591,louisiana,brulé
592,louisiana,cabine
593,louisiana,caouane
594,louisiana,catalpa
595,louisiana,chaland
596,louisiana,chaoui
597,louisiana,charbon
598,louisiana,chaunchy
599,louisiana,chenier
600,louisiana,cherook
601,louisiana,chinaball
602,louisiana,chouette
603,louisiana,choupique
604,louisiana,coonass
605,louisiana,cotch
606,louisiana,cottonfish
607,louisiana,couillon
608,louisiana,coulee
609,louisiana,cowbelly
610,louisiana,cowcumber
611,louisiana,crabburger
612,louisiana,cuite
613,louisiana,daube
614,louisiana,dormeur
615,louisiana,escalin
616,louisiana,esquif
617,louisiana,filé
618,louisiana,flottant
619,louisiana,fâché
620,louisiana,gaspergou
621,louisiana,gou
622,louisiana,goujon
623,louisiana,gourde
624,louisiana,graine
625,louisiana,grasset
626,louisiana,graton
627,louisiana,grenouille
628,louisiana,griffe
629,louisiana,grillade
630,louisiana,guigui
631,louisiana,hardhead
632,louisiana,hoodoo
633,louisiana,isleño
634,louisiana,jambalaya
635,louisiana,kingbird
636,louisiana,kyoodle
637,louisiana,lagniappe
638,louisiana,latanier
639,louisiana,lemonfish
640,louisiana,lugger
641,louisiana,mamou
642,louisiana,maringouin
643,louisiana,minou
644,louisiana,mirliton
645,louisiana,mudbug
646,louisiana,muffuletta
647,louisiana,mémère
648,louisiana,nenaine
649,louisiana,outarde
650,louisiana,papabotte
651,louisiana,parrain
652,louisiana,passez
653,louisiana,passé
654,louisiana,pieu
655,louisiana,pigeonnier
656,louisiana,pirogue
657,louisiana,pissenlit
658,louisiana,plongeur
659,louisiana,praline
660,louisiana,quartee
661,louisiana,racacha
662,louisiana,rainbird
663,louisiana,roder
664,louisiana,sacalait
665,louisiana,sarcelle
666,louisiana,screwman
667,louisiana,sharpshooter
668,louisiana,shivaree
669,louisiana,skillethead
670,louisiana,tasso
671,louisiana,telltale
672,louisiana,tievine
673,louisiana,tignon
674,louisiana,trainasse
675,louisiana,veiller
676,louisiana,veillée
677,louisiana,wanga
678,louisiana,washateria
679,louisiana,wawaron
680,louisiana,étouffée
681,"louisiana, new orleans",camelback
682,"louisiana, new orleans",krewe
683,"louisiana, new orleans",pistolet
684,"louisiana, new orleans",yat
685,maine,aftergrass
686,maine,bange
687,maine,barvel
688,maine,baster
689,maine,becket
690,maine,bogan
691,maine,breezen
692,maine,cohooter
693,maine,crawm
694,maine,culch
695,maine,cusk
696,maine,dozy
697,maine,fiddlehead
698,maine,fub
699,maine,galamander
700,maine,gaumy
701,maine,glinn
702,maine,gorby
703,maine,groaner
704,maine,hakemouth
705,maine,hosey
706,maine,hovel
707,maine,humdurgan
708,maine,jeezly
709,maine,kennebunker
710,maine,killhag
711,maine,kyack
712,maine,larrigan
713,maine,larrup
714,maine,lucivee
715,maine,medrick
716,maine,minge
717,maine,moosebird
718,maine,nubble
719,maine,p.i.
720,maine,peapod
721,maine,ploye
722,maine,poky
723,maine,pumplefoot
724,maine,quickwater
725,maine,rawny
726,maine,redfish
727,maine,rollway
728,maine,rusticator
729,maine,sardine
730,maine,scrod
731,maine,shive
732,maine,smelt
733,maine,snub
734,maine,spoolwood
735,maine,sprill
736,maine,squizzle
737,maine,stiver
738,maine,summercater
739,maine,swagin
740,maine,titrivate
741,maine,togue
742,maine,tomalley
743,maine,tomcod
744,maine,touse
745,maine,trollock
746,maine,tunklehead
747,maine,wanigan
748,maine,willywags
749,maine,younker
750,maine,yowwun
751,maryland,bloodick
752,maryland,catty
753,maryland,espantoon
754,maryland,flosh
755,maryland,garlicky
756,maryland,maniportia
757,maryland,moonack
758,maryland,papershell
759,maryland,pigwick
760,maryland,pocosin
761,maryland,rainspout
762,maryland,rainspouting
763,maryland,scrapple
764,maryland,sheaf
765,maryland,sinkboat
766,maryland,sinkbox
767,maryland,skillpot
768,maryland,skitters
769,maryland,smearcase
770,maryland,snollygoster
771,maryland,tacker
772,maryland,whiffler
773,maryland,whiteback
774,"maryland, baltimore",arabber
775,massachusetts,angledog
776,massachusetts,bottlehead
777,massachusetts,crimmy
778,massachusetts,diddledee
779,massachusetts,frappe
780,massachusetts,gally
781,massachusetts,greenhead
782,massachusetts,herdic
783,massachusetts,hoodsie
784,massachusetts,horribles
785,massachusetts,hosey
786,massachusetts,jagasee
787,massachusetts,jeekers
788,massachusetts,linnet
789,massachusetts,longlick
790,massachusetts,medrick
791,massachusetts,peggyball
792,massachusetts,pigsticker
793,massachusetts,pooquaw
794,massachusetts,quahog
795,massachusetts,quoit
796,massachusetts,rattleran
797,massachusetts,relievo
798,massachusetts,scrod
799,massachusetts,skulljoe
800,massachusetts,spoonhunt
801,massachusetts,spoonwood
802,massachusetts,sproutland
803,massachusetts,squantum
804,massachusetts,statie
805,massachusetts,stiver
806,massachusetts,swankey
807,massachusetts,tiddlies
808,massachusetts,tipcart
809,massachusetts,tomcod
810,massachusetts,torshent
811,massachusetts,whiffle
812,"massachusetts, boston",spucky
813,"massachusetts, boston",twoser
814,"massachusetts, cape cod",peewink
815,"massachusetts, cape cod",pinkwink
816,"massachusetts, nantucket",coof
817,"massachusetts, nantucket",pinkletink
818,"massachusetts, nantucket",slatch
819,michigan,baga
820,michigan,balkenbry
821,michigan,booya
822,michigan,borrows
823,michigan,cathole
824,michigan,dogan
825,michigan,headlighting
826,michigan,hodag
827,michigan,hutspot
828,michigan,juneberry
829,michigan,leeky
830,michigan,lobber
831,michigan,menominee
832,michigan,norski
833,michigan,paczki
834,michigan,pank
835,michigan,pasty
836,michigan,poig
837,michigan,singletree
838,michigan,spile
839,michigan,splay
840,michigan,swale
841,michigan,swamper
842,michigan,tarvia
843,michigan,travoy
844,michigan,yooper
845,minnesota,baga
846,minnesota,booya
847,minnesota,borrows
848,minnesota,coulee
849,minnesota,dagwood
850,minnesota,dogan
851,minnesota,heinie
852,minnesota,hodag
853,minnesota,ishy
854,minnesota,julebukk
855,minnesota,juneberry
856,minnesota,kittenball
857,minnesota,krumkake
858,minnesota,lefse
859,minnesota,limpa
860,minnesota,menominee
861,minnesota,mousie
862,minnesota,muskeg
863,minnesota,ostkaka
864,minnesota,poig
865,minnesota,primost
866,minnesota,rommegrot
867,minnesota,sandbakkels
868,minnesota,sylte
869,minnesota,tullibee
870,minnesota,wapatuli
871,mississippi,hoodoo
872,mississippi,jimplecute
873,mississippi,jimpsecute
874,mississippi,pirogue
875,mississippi,tievine
876,missouri,eversharp
877,missouri,handfish
878,missouri,jimplecute
879,missouri,ornery
880,missouri,ripgut
881,montana,coulee
882,montana,hunyak
883,narraganset,nocake
884,narraganset,pogy
885,narraganset,samp
886,narraganset,sannup
887,narraganset,tautog
888,narraganset,wamp
889,narraganset,wampee
890,nebraska,chophill
891,nebraska,doodinkus
892,nebraska,runza
893,nebraska,sandhiller
894,nebraska,soddy
895,nebraska,waddy
896,nevada,mescrew
897,nevada,parada
898,nevada,pogonip
899,nevada,pogy
900,new hampshire,crawm
901,new hampshire,hovel
902,new hampshire,killhag
903,new hampshire,larbo
904,new hampshire,minge
905,new hampshire,poky
906,new hampshire,rawny
907,new hampshire,spoonhunt
908,new hampshire,spoonwood
909,new hampshire,tomcod
910,new hampshire,woodwall
911,new jersey,blickey
912,new jersey,catty
913,new jersey,dobber
914,new jersey,freeholder
915,new jersey,garlicky
916,new jersey,goshawk
917,new jersey,greentail
918,new jersey,hake
919,new jersey,hoagie
920,new jersey,jabib
921,new jersey,kiskitomas
922,new jersey,laggy
923,new jersey,mossbunker
924,new jersey,nauseous
925,new jersey,pinkster
926,new jersey,quoit
927,new jersey,rainspout
928,new jersey,ratgut
929,new jersey,rolliche
930,new jersey,seapoose
931,new jersey,shoobie
932,new jersey,skimmelton
933,new jersey,slank
934,new jersey,smee
935,new jersey,splay
936,new jersey,sprinkles
937,new jersey,spung
938,new jersey,tacker
939,new jersey,thundergust
940,new jersey,wheelbarrow
941,new jersey,whinny
942,new jersey,womper
943,new jersey,woodpile
944,new mexico,colcha
945,new mexico,colchon
946,new mexico,hosteen
947,new mexico,luminaria
948,new mexico,morral
949,new mexico,penco
950,new mexico,penitente
951,new mexico,ristra
952,new mexico,sopaipilla
953,new mexico,sotol
954,new mexico,spaniard
955,new mexico,vara
956,new york,afterfeed
957,new york,ayuh
958,new york,barrack
959,new york,binnacle
960,new york,binnewater
961,new york,blickey
962,new york,cackany
963,new york,canaller
964,new york,catty
965,new york,clape
966,new york,crimper
967,new york,dobber
968,new york,dominie
969,new york,dooryard
970,new york,faggot
971,new york,feest
972,new york,fetticus
973,new york,fyke
974,new york,gooney
975,new york,goshawk
976,new york,killifish
977,new york,kimmelweck
978,new york,kiskitomas
979,new york,kittering
980,new york,louk
981,new york,mossbunker
982,new york,netop
983,new york,overshot
984,new york,pannicake
985,new york,pinkster
986,new york,pitchhole
987,new york,pogy
988,new york,pung
989,new york,punging
990,new york,ratgut
991,new york,rolliche
992,new york,seapoose
993,new york,sizzer
994,new york,skeeve
995,new york,skidway
996,new york,skippaug
997,new york,smelt
998,new york,spiedi
999,new york,stinkpot
1000,new york,stived
1001,new york,stook
1002,new york,supawn
1003,new york,throughway
1004,new york,timberdoodle
1005,new york,tomcod
1006,new york,trefoil
1007,new york,tunk
1008,new york,upstreeter
1009,new york,vly
1010,new york,weaser
1011,new york city,aikie
1012,new york city,blickey
1013,new york city,ditzy
1014,new york city,mocky
1015,new york city,nauseous
1016,new york city,nebbish
1017,new york city,parky
1018,new york city,pollynose
1019,new york city,potsy
1020,new york city,punchball
1021,new york city,saluggi
1022,new york city,schlepp
1023,new york city,schlepper
1024,new york city,shoestring
1025,new york city,skelly
1026,new york city,spaldeen
1027,new york city,sprinkles
1028,new york city,stickball
1029,new york city,stoopball
1030,new york city,wheelbarrow
1031,"new york, hudson valley",olykoek
1032,"new york, hudson valley",skimmelton
1033,"new york, long island",mummichog
1034,"new york, long island",pightle
1035,"new york, long island",swellbelly
1036,"new york, long island",torup
1037,"new york, upstate",downstreet
1038,"new york, upstate",emptins
1039,"new york, upstate",friedcake
1040,"new york, upstate",frock
1041,"new york, upstate",hoggy
1042,"new york, upstate",horning
1043,"new york, upstate",lobber
1044,"new york, upstate",matterate
1045,"new york, upstate",muley
1046,"new york, upstate",muskellunge
1047,"new york, upstate",neap
1048,"new york, upstate",pank
1049,"new york, upstate",punkie
1050,"new york, upstate",quoit
1051,"new york, upstate",skipjack
1052,"new york, upstate",titman
1053,"new york, upstate",tunk
1054,"new york, upstate",tuque
1055,"new york, upstate",whay
1056,"new york, upstate",woodchuck
1057,newfoundland,capelin
1058,newfoundland,flatjack
1059,newfoundland,gaff
1060,newfoundland,gansey
1061,newfoundland,glinn
1062,newfoundland,groaner
1063,newfoundland,hagdon
1064,newfoundland,killick
1065,newfoundland,lant
1066,newfoundland,quintal
1067,newfoundland,scrod
1068,newfoundland,scrog
1069,newfoundland,scurryfunge
1070,newfoundland,stouter
1071,newfoundland,streel
1072,north carolina,
1073,north carolina,aboon
1074,north carolina,applejack
1075,north carolina,baldhead
1076,north carolina,baseborn
1077,north carolina,croatan
1078,north carolina,flowerpot
1079,north carolina,hicatee
1080,north carolina,mammock
1081,north carolina,maninose
1082,north carolina,muddle
1083,north carolina,nullify
1084,north carolina,oniony
1085,north carolina,packhouse
1086,north carolina,peawood
1087,north carolina,pocosin
1088,north carolina,popcracker
1089,north carolina,slipe
1090,north carolina,sochan
1091,north carolina,tisswood
1092,north carolina,toddick
1093,north carolina,whirlygust
1094,north carolina,widdie
1095,north carolina,worriation
1096,north carolina,yaupon
1097,north carolina,yellowtail
1098,north dakota,coulee
1099,north dakota,farmhand
1100,north dakota,flickertail
1101,north dakota,hunyak
1102,north dakota,julebukk
1103,north dakota,limpa
1104,north dakota,slushburger
1105,north dakota,stubbleberry
1106,ohio,berm
1107,ohio,carmelite
1108,ohio,hatchway
1109,ohio,hilliken
1110,ohio,hoodlebug
1111,ohio,muskellunge
1112,ohio,peavine
1113,ohio,pigoo
1114,ohio,sheaf
1115,ohio,skitters
1116,ohio,smearcase
1117,ohio,splay
1118,ohio,spouting
1119,ohio,swankey
1120,ohio,teeter
1121,ohio,thronged
1122,oklahoma,appaloosa
1123,oklahoma,blackland
1124,oklahoma,broomweed
1125,oklahoma,juneteenth
1126,oklahoma,larruping
1127,oklahoma,sofkee
1128,oklahoma,stewer
1129,oklahoma,wiggletail
1130,oregon,chinquapin
1131,oregon,doghole
1132,oregon,parada
1133,oregon,pelota
1134,oregon,wokas
1135,pennsylvania,aftergrass
1136,pennsylvania,apee
1137,pennsylvania,backsie
1138,pennsylvania,bauchgot
1139,pennsylvania,bealed
1140,pennsylvania,berm
1141,pennsylvania,bluebottle
1142,pennsylvania,bube
1143,pennsylvania,buckleback
1144,pennsylvania,butty
1145,pennsylvania,byo
1146,pennsylvania,catty
1147,pennsylvania,chinch
1148,pennsylvania,cluck
1149,pennsylvania,cornerball
1150,pennsylvania,crimper
1151,pennsylvania,dipsy
1152,pennsylvania,dornick
1153,pennsylvania,dunker
1154,pennsylvania,elbedritsch
1155,pennsylvania,esel
1156,pennsylvania,faggot
1157,pennsylvania,fastnacht
1158,pennsylvania,firebug
1159,pennsylvania,flitch
1160,pennsylvania,flitting
1161,pennsylvania,gooney
1162,pennsylvania,goshawk
1163,pennsylvania,grinnie
1164,pennsylvania,gummy
1165,pennsylvania,hasenpfeffer
1166,pennsylvania,hisser
1167,pennsylvania,hoagie
1168,pennsylvania,horning
1169,pennsylvania,jabib
1170,pennsylvania,jouk
1171,pennsylvania,juneberry
1172,pennsylvania,knepp
1173,pennsylvania,kuchen
1174,pennsylvania,misht
1175,pennsylvania,moshey
1176,pennsylvania,muley
1177,pennsylvania,muskellunge
1178,pennsylvania,nauseous
1179,pennsylvania,nebby
1180,pennsylvania,newsy
1181,pennsylvania,outen
1182,pennsylvania,overden
1183,pennsylvania,overshot
1184,pennsylvania,panhas
1185,pennsylvania,pank
1186,pennsylvania,pierogi
1187,pennsylvania,polinky
1188,pennsylvania,pollyanna
1189,pennsylvania,potpie
1190,pennsylvania,potstick
1191,pennsylvania,powwow
1192,pennsylvania,punkie
1193,pennsylvania,quoit
1194,pennsylvania,rainspout
1195,pennsylvania,rainspouting
1196,pennsylvania,ratgut
1197,pennsylvania,residenter
1198,pennsylvania,rutchie
1199,pennsylvania,saddy
1200,pennsylvania,schnitz
1201,pennsylvania,schussel
1202,pennsylvania,scrapple
1203,pennsylvania,scrunt
1204,pennsylvania,scutch
1205,pennsylvania,sheaf
1206,pennsylvania,skimmelton
1207,pennsylvania,skitters
1208,pennsylvania,slapper
1209,pennsylvania,slippy
1210,pennsylvania,smearcase
1211,pennsylvania,sots
1212,pennsylvania,sowbelly
1213,pennsylvania,spatzie
1214,pennsylvania,splay
1215,pennsylvania,spouting
1216,pennsylvania,sprag
1217,pennsylvania,spritz
1218,pennsylvania,stenner
1219,pennsylvania,swankey
1220,pennsylvania,tacker
1221,pennsylvania,tenner
1222,pennsylvania,throng
1223,pennsylvania,thundergust
1224,pennsylvania,trefoil
1225,pennsylvania,wamus
1226,pennsylvania,whiffet
1227,pennsylvania,wineberry
1228,pennsylvania,wriggler
1229,pennsylvania,yinzer
1230,pennsylvania,zep
1231,pennsylvania,zitterli
1232,rhode island,bandudelums
