CYNTHIA,IL,That's good said tiger And then tiger said H And so then H you ran away And you got away from rhino And boy said L well No I was so tired I just sat down here and H and H and now I'm going to get behind this big stone because H here comes rhino now L>
AUD,NA,rhino
MANY,NA,LAUGHTER
CYNTHIA,IL,That's bad said tiger
MANY,NA,That's bad said tiger
CYNTHIA,IL,And he took off running fast And the little boy H got up P not tired anymore P H and he ran away home as fast as his little brown legs would carry him H P And that's good that's bad is the name of that story P
MANY,NA,LAUGHTER APPLAUSE
CYNTHIA,IL,Now I know storytelling is a new thing for a lot of you but it Um if you do have enjoyment of it I hope you will join us another time at at the storytelling festival TSK H I have one more story for you H And
AUD,NA,COUGH
CYNTHIA,IL,How many of you already know the story the frog prince The frog prince the prince who is turned into a frog by a witch and H and then in order to
AUD,NA,AUD_
CYNTHIA,IL,Is it reminding you of someone you know
MANY,NA,LAUGHTER
CYNTHIA,IL,I h Um
AUD,NA,COUGH COUGH
CYNTHIA,IL,and then in order to regain his form he has to be kissed by a beautiful princess You've all heard that story I'm sure H Well
AUD,NA,COUGH COUGH
CYNTHIA,IL,this is the story of the other frog prince
AUD,NA,
CYNTHIA,IL,TSK H It was a beautiful day at the pond
AUD,NA,THROAT
CYNTHIA,IL,But the frog prince who was sitting on his lily pad in the middle of the pond huh H was he lonely H I mean the MRC birds were flying above him the fish were swimming below him but no one was paying a bit of attention to him MRC H VOX When VOX who should he see walking along the path with a book under her arm but L the most beautiful princess he had ever seen L VOX Well uh finally a little company VOX He said to himself
AUD,NA,THROAT
CYNTHIA,IL,And he took off his little gold crown put it next to him on the lily pad H hopped into the water H and swam across poking his little head up through the reeds VOX Oh uh pardon me Beautiful princess VOX he said in his most pitiful and pathetic voice H VOX But uh
AUD,NA,H
CYNTHIA,IL,I was wondering if if you could help me VOX Well the princess was quite surprised to be spoken to by a frog but she felt so sorry for his pitiful and pathetic voice that she said TSK H VOX Why you dear little frog H Whatever can I can I do to help you VOX And he said VOX Oh well you see H I am not really a frog H I am really a handsome prince Who has been turned into a frog by H the spell of a wicked witch And in order to break the spell I must be kissed H by a beautiful princess VOX Well L somehow the princess had the feeling that he was gonna say that L
AUD,NA,LAUGHTER
CYNTHIA,IL,L but she looked down at him and felt so sorry for him L and she thought VOX Well What do I have to lose VOX VOX And so VOX she reached down And she picked him up H and she brought him MRC right up close to her face MRC H and she closed her eyes
AUD,NA,COUGH COUGH
CYNTHIA,IL,H and she gave him a great big kiss Do you wanna help me make kiss sounds Okay here we go KISS
MANY,NA,KISS
CYNTHIA,IL,But when she opened her eyes She was surprised to see the frog still sitting there
MANY,NA,LAUGHTER
CYNTHIA,IL,With a great big smile
MANY,NA,LAUGHTER
CYNTHIA,IL,On his face
MANY,NA,LAUGHTER
CYNTHIA,IL,And he said VOX nice kiss sweetie H I was just kidding about the prince part
MANY,NA,LAUGHTER
CYNTHIA,IL,Ta ta VOX and he hopped into the water
MANY,NA,LAUGHTER
CYNTHIA,IL,And she wiped the frog slime
MANY,NA,LAUGHTER
CYNTHIA,IL,off her lips VOX Ugh VOX And that's the story of the other frog prince
MANY,NA,LAUGHTER APPLAUSE
CYNTHIA,IL,Thank you very much Um there are a couple of other storytelling events that I'd just like to share with you one is in Elgin tomorrow evening Jim May is going to be um doing some stories H uh for a church group there and you It's a public uh occasion and you'd all be welcome I'll leave some fliers for you here if you'd like them H And uh next Saturday H at the McHenry County Conservation District which isn't really all that far H Um Rosalee Sorrells who is a well-known folk singer and storyteller will be doing a program H and at seven-thirty and you'd all be welcome to come We'd love to have you there So I thank you very much if any of you have occasions to use storytellers I'd be happy to talk with you or to find you an appropriate storyteller for H any other group you might belong to Thank you very much
MANY,NA,APPLAUSE
